target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,5.814607501855679,8.841457243757194,0.6585320311020867,0.5644677850882136,1.6028115397534806,0.640329218106996
SP.URB.TOTL.IN.ZS,18.074566384960868,19.21450218999915,0.9398600919655102,0.1158084066018659,3.2235523022660972,0.5506172839506174
NV.AGR.TOTL.ZS,9.275377076971456,9.948330254257927,0.9328787153372609,0.12930447261177588,2.9363141067756793,0.47407407407407404
EG.USE.PCAP.KG.OE,1978.4842298562812,2138.3961985717187,0.9247127796792203,0.14385851544318962,3.4591713133867565,0.5407407407407407
FS.AST.PRVT.GD.ZS,34.21224074631675,46.77477029512699,0.7315691551833801,0.46397679625616367,2.294780480132629,0.45020576131687245
NE.IMP.GNFS.ZS,9.00510267981635,9.180806733910227,0.9826332521297925,0.033116175767041824,1.9476702164629356,0.5473251028806585
NY.GDP.MKTP.CD,1773931748232.2585,3001552356209.84,0.5919839368311492,0.6423670705577905,1.261745491135955,0.6106995884773663
NE.EXP.GNFS.ZS,11.848046129940915,11.734009971442642,1.0086948011387442,-0.019675182574952578,2.053371246263752,0.545679012345679
NY.GDP.MKTP.KD.ZG,4.85851513352135,4.681038500010852,1.0385057770078405,-0.078733647558452,0.9365326506029327,0.5152263374485596
EN.ATM.GHGT.KT.CE,1478573.4190615811,1884450.0710822586,0.7871621349998302,0.3785293906239297,3.1061476045970453,0.5358024691358024
