target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,1.0400826831062335,8.841457243757194,0.11764603031165144,0.9860815003451311,0.22294588216406602,0.8864197530864196
SP.URB.TOTL.IN.ZS,1.6877001605787405,19.21450218999915,0.08781602118523266,0.9922445469371677,0.24015004820848454,0.8419753086419753
NV.AGR.TOTL.ZS,1.4840101426090668,9.948330254257927,0.14825529672992016,0.9768458650641513,0.32833180577539955,0.609053497942387
EG.USE.PCAP.KG.OE,337.0395610376628,2138.3961985717187,0.1579146001080091,0.9745214784995321,0.40112684091938144,0.722633744855967
FS.AST.PRVT.GD.ZS,8.445228454627667,46.77477029512699,0.18027935315744917,0.9663023545055518,0.4107019546205022,0.5786008230452675
NE.IMP.GNFS.ZS,2.1490271123660887,9.180806733910227,0.23465139788686287,0.9446923245504892,0.37896765143899575,0.7629629629629628
NY.GDP.MKTP.CD,300651893619.44025,3001552356209.84,0.10103346151691098,0.9895251857401798,0.21467121684828325,0.8181069958847736
NE.EXP.GNFS.ZS,3.6267878039546915,11.734009971442642,0.3054622990551099,0.9009755089490323,0.42090440504102844,0.7654320987654322
NY.GDP.MKTP.KD.ZG,3.9487292137301973,4.681038500010852,0.8436541289810575,0.2833251333136027,0.6772400266631047,0.6115226337448559
EN.ATM.GHGT.KT.CE,322515.59857128566,1884450.0710822586,0.17197376617641952,0.9682374439943923,0.41598317197233736,0.6773662551440329
