target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,4.135058672111336,5.575594450013033,0.7433133823077462,0.4438223428353897,1.1323555464969184,0.6790697674418605
SP.URB.TOTL.IN.ZS,5.667599845399539,13.69442901400052,0.4160520019887901,0.8209714731432074,0.6899718424994783,0.6232558139534883
NV.AGR.TOTL.ZS,1.6709020780037533,4.162336384365831,0.40482508965472874,0.8337497085703797,0.7251084198147734,0.613953488372093
EG.USE.PCAP.KG.OE,1526.812147858141,1992.9265004745928,0.767298985593668,0.4080082766641834,1.0536040181000055,0.4790697674418604
FS.AST.PRVT.GD.ZS,30.802330000127757,48.851664960913936,0.6327837187332619,0.5980672375842377,0.9998336670630549,0.6790697674418605
NE.IMP.GNFS.ZS,3.2550934037055166,8.85915868576389,0.3672188821884144,0.8598329583174239,0.4409166353935176,0.8186046511627907
NY.GDP.MKTP.CD,3032460436794.166,4879431890868.638,0.6247610346170803,0.6086293208057157,0.9320497968286767,0.6372093023255814
NE.EXP.GNFS.ZS,3.700204170699641,10.619038574262866,0.34500645025751225,0.8775620445394837,0.4345550343187826,0.8093023255813954
NY.GDP.MKTP.KD.ZG,3.279447382354617,3.4133029243895465,0.9664135625607931,0.05145704934809299,0.7239391051340168,0.5441860465116279
EN.ATM.GHGT.KT.CE,1495017.5029855312,2565961.635048749,0.6037578119681133,0.6284016413196006,0.8954080104071108,0.6232558139534884
