target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,1.1009742112606602,8.841457243757194,0.12442646528809942,0.9844616284166616,0.24698600121135858,0.8189300411522634
SP.URB.TOTL.IN.ZS,1.994921598258943,19.21450218999915,0.10368843267353275,0.9889864466540972,0.2957071608492444,0.7423868312757201
NV.AGR.TOTL.ZS,1.2947733856409414,9.948330254257927,0.1299532762539503,0.9828298075191094,0.32566922029421863,0.574485596707819
EG.USE.PCAP.KG.OE,318.4429587429674,2138.3961985717187,0.14906918532311786,0.9769903962391908,0.39908126717123654,0.6633744855967079
FS.AST.PRVT.GD.ZS,8.799275356037665,46.77477029512699,0.18799615270802578,0.9645092911823557,0.4408754168918783,0.5489711934156378
NE.IMP.GNFS.ZS,2.0220346155593,9.180806733910227,0.22073109796673665,0.9509611875837433,0.36188455072649517,0.7448559670781892
NY.GDP.MKTP.CD,316135703829.18475,3001552356209.84,0.10627846921262647,0.9886284598206212,0.22366784269868756,0.7588477366255144
NE.EXP.GNFS.ZS,3.4918208536112885,11.734009971442642,0.29335186014154185,0.9075109939996875,0.383956162463299,0.7555555555555556
NY.GDP.MKTP.KD.ZG,3.940590004725167,4.681038500010852,0.8443308789482418,0.2823324193919808,0.7083165763167523,0.562962962962963
EN.ATM.GHGT.KT.CE,375268.84810746775,1884450.0710822586,0.19973073303369993,0.9539468555693666,0.43430519969243414,0.6370370370370371
