country_code,feature_code,lambda_A,lambda_M,guiding_score
EUU,EG.USE.PCAP.KG.OE,10.0,10.0,4.377740852057056
EUU,EN.ATM.GHGT.KT.CE,10.0,0.1,4.89895174959326
EUU,NV.AGR.TOTL.ZS,0.1,10.0,3.3593415749975737
EUU,FS.AST.PRVT.GD.ZS,0.1,1.0,5.972119742867062
FRA,SP.URB.TOTL.IN.ZS,0.1,10.0,6.520723701080922
FRA,SP.RUR.TOTL.ZS,0.1,10.0,6.5205287935892695
FRA,SP.DYN.LE00.MA.IN,1.0,10.0,5.772465618003903
FRA,SP.DYN.LE00.IN,1.0,10.0,5.654069402086304
FRA,NY.GDP.MKTP.CD,0.1,1.0,3.8001597040810156
FRA,NE.IMP.GNFS.ZS,1.0,10.0,4.605722335818332
FRA,NE.EXP.GNFS.ZS,10.0,0.1,5.152225617107812
FRA,NY.GDP.MKTP.KD.ZG,0.1,0.1,4.939670046137878
FRA,SH.DYN.MORT,1.0,10.0,5.536866712474992
FRA,EG.USE.PCAP.KG.OE,10.0,10.0,4.744423321675082
FRA,EN.ATM.GHGT.KT.CE,10.0,10.0,4.8843912364993916
FRA,NV.AGR.TOTL.ZS,1.0,1.0,3.511712164632579
FRA,FS.AST.PRVT.GD.ZS,10.0,10.0,5.644446593416784
GBR,SP.URB.TOTL.IN.ZS,0.1,1.0,6.471070056688187
GBR,SP.RUR.TOTL.ZS,0.1,0.1,6.492827597141662
GBR,SP.DYN.LE00.MA.IN,0.1,1.0,5.854315153779099
GBR,SP.DYN.LE00.IN,0.1,1.0,5.711817600526562
GBR,NY.GDP.MKTP.CD,0.1,0.1,4.065315949972721
GBR,NE.IMP.GNFS.ZS,10.0,10.0,4.226931452555843
GBR,NE.EXP.GNFS.ZS,10.0,10.0,4.499448439247104
GBR,NY.GDP.MKTP.KD.ZG,10.0,10.0,3.617271477505758
GBR,SH.DYN.MORT,0.1,10.0,5.714890181086956
GBR,EG.USE.PCAP.KG.OE,10.0,0.1,5.119973049385786
GBR,EN.ATM.GHGT.KT.CE,0.1,10.0,5.532507633637947
GBR,NV.AGR.TOTL.ZS,0.1,10.0,3.381052370031275
GBR,FS.AST.PRVT.GD.ZS,1.0,0.1,6.089803977957466
IDN,SP.URB.TOTL.IN.ZS,0.1,10.0,6.496725282815923
