country_code,feature_code,guiding_score
FRA,NY.GDP.MKTP.CD,3.8001597040810156
FRA,NY.GDP.MKTP.KD.ZG,4.939670046137878
FRA,SH.DYN.MORT,5.536866712474992
FRA,SP.DYN.LE00.IN,5.654069402086304
FRA,SP.DYN.LE00.MA.IN,5.772465618003903
FRA,SP.RUR.TOTL.ZS,6.520528793589269
FRA,SP.URB.TOTL.IN.ZS,6.520723701080922
GBR,EG.USE.PCAP.KG.OE,5.119973049385786
GBR,EN.ATM.GHGT.KT.CE,5.532507633637947
GBR,FS.AST.PRVT.GD.ZS,6.089803977957466
GBR,NE.EXP.GNFS.ZS,4.499448439247104
GBR,NE.IMP.GNFS.ZS,4.226931452555843
GBR,NV.AGR.TOTL.ZS,3.381052370031275
GBR,NY.GDP.MKTP.CD,4.065315949972721
GBR,NY.GDP.MKTP.KD.ZG,3.617271477505758
GBR,SH.DYN.MORT,5.714890181086956
GBR,SP.DYN.LE00.IN,5.711817600526562
GBR,SP.DYN.LE00.MA.IN,5.854315153779099
GBR,SP.RUR.TOTL.ZS,6.492827597141662
GBR,SP.URB.TOTL.IN.ZS,6.471070056688187
IDN,EG.USE.PCAP.KG.OE,4.483791590559575
IDN,EN.ATM.GHGT.KT.CE,5.148837093422742
IDN,FS.AST.PRVT.GD.ZS,4.693125726010439
IDN,NE.EXP.GNFS.ZS,4.279600327495613
IDN,NE.IMP.GNFS.ZS,3.904513827422207
IDN,NV.AGR.TOTL.ZS,4.170158348857366
IDN,NY.GDP.MKTP.CD,5.5538445803214405
IDN,NY.GDP.MKTP.KD.ZG,2.1680431388943715
IDN,SH.DYN.MORT,6.329230146443705
IDN,SP.DYN.LE00.IN,6.490807391583316
IDN,SP.DYN.LE00.MA.IN,6.509205439198047
IDN,SP.RUR.TOTL.ZS,6.497770453445721
IDN,SP.URB.TOTL.IN.ZS,6.496725282815923
IND,EG.USE.PCAP.KG.OE,5.6123370347410795
IND,EN.ATM.GHGT.KT.CE,6.074967493857121
IND,FS.AST.PRVT.GD.ZS,4.753531547609198
IND,NE.EXP.GNFS.ZS,3.7190821820616646
IND,NE.IMP.GNFS.ZS,4.252470587805874
IND,NV.AGR.TOTL.ZS,3.004493621508411
IND,NY.GDP.MKTP.CD,5.568316978704241
IND,NY.GDP.MKTP.KD.ZG,4.0110804267965525
IND,SH.DYN.MORT,6.523954434087342
IND,SP.DYN.LE00.IN,6.429472573378572
IND,SP.DYN.LE00.MA.IN,6.442693738315733
IND,SP.RUR.TOTL.ZS,6.487790731788901
IND,SP.URB.TOTL.IN.ZS,6.505829618189679
ITA,EG.USE.PCAP.KG.OE,5.238871804223635
ITA,EN.ATM.GHGT.KT.CE,5.378223781177194
ITA,FS.AST.PRVT.GD.ZS,5.927610084495233
ITA,NE.EXP.GNFS.ZS,4.977206994802065
ITA,NE.IMP.GNFS.ZS,3.387265141310728
ITA,NV.AGR.TOTL.ZS,3.566174094341889
ITA,NY.GDP.MKTP.CD,3.7871939182573797
ITA,NY.GDP.MKTP.KD.ZG,4.13032723548354
ITA,SH.DYN.MORT,6.115910183088146
ITA,SP.DYN.LE00.IN,6.108251756734229
ITA,SP.DYN.LE00.MA.IN,6.182068368257084
ITA,SP.RUR.TOTL.ZS,6.401776081848287
ITA,SP.URB.TOTL.IN.ZS,6.38151155969665
JPN,EG.USE.PCAP.KG.OE,4.754774217215655
JPN,EN.ATM.GHGT.KT.CE,4.086666214669242
JPN,FS.AST.PRVT.GD.ZS,4.251894281888589
JPN,NE.EXP.GNFS.ZS,3.683647802698479
JPN,NE.IMP.GNFS.ZS,4.083157708018886
JPN,NV.AGR.TOTL.ZS,4.515648212330348
JPN,NY.GDP.MKTP.CD,4.625582951330282
JPN,NY.GDP.MKTP.KD.ZG,3.821574400529033
JPN,SH.DYN.MORT,5.949703586058764
JPN,SP.DYN.LE00.IN,5.8020125059304455
JPN,SP.DYN.LE00.MA.IN,5.956802190762028
JPN,SP.RUR.TOTL.ZS,6.0173498149563125
JPN,SP.URB.TOTL.IN.ZS,5.769207949971243
KOR,EG.USE.PCAP.KG.OE,4.878352144255996
KOR,EN.ATM.GHGT.KT.CE,5.4399236724672475
KOR,FS.AST.PRVT.GD.ZS,4.944844217712418
KOR,NE.EXP.GNFS.ZS,4.751780116707706
KOR,NE.IMP.GNFS.ZS,4.3824989049626595
KOR,NV.AGR.TOTL.ZS,5.494475672257403
KOR,NY.GDP.MKTP.CD,5.283493314714
KOR,NY.GDP.MKTP.KD.ZG,2.56430741086933
KOR,SH.DYN.MORT,6.175000388031128
KOR,SP.DYN.LE00.IN,6.28279187792441
KOR,SP.DYN.LE00.MA.IN,6.10243065466981
KOR,SP.RUR.TOTL.ZS,5.126263452013956
KOR,SP.URB.TOTL.IN.ZS,4.667019943987743
MEX,EG.USE.PCAP.KG.OE,3.623326965040388
MEX,EN.ATM.GHGT.KT.CE,4.592301142882622
MEX,FS.AST.PRVT.GD.ZS,5.439052033333793
MEX,NE.EXP.GNFS.ZS,5.545946284166291
MEX,NE.IMP.GNFS.ZS,5.457081000728182
MEX,NV.AGR.TOTL.ZS,3.7308234094790356
MEX,NY.GDP.MKTP.CD,4.775985888166151
MEX,NY.GDP.MKTP.KD.ZG,3.8296557082124645
MEX,SH.DYN.MORT,6.474135302426416
MEX,SP.DYN.LE00.IN,3.2931301316840327
MEX,SP.DYN.LE00.MA.IN,4.950797672665345
MEX,SP.RUR.TOTL.ZS,6.51677614648449
MEX,SP.URB.TOTL.IN.ZS,6.530433543235215
RUS,EG.USE.PCAP.KG.OE,3.5625167179305084
RUS,EN.ATM.GHGT.KT.CE,3.3664806062493917
RUS,FS.AST.PRVT.GD.ZS,5.711910301822164
RUS,NE.EXP.GNFS.ZS,4.076532558318143
RUS,NE.IMP.GNFS.ZS,2.6422203103082746
RUS,NV.AGR.TOTL.ZS,4.027422317876826
RUS,NY.GDP.MKTP.CD,4.582706828028803
RUS,NY.GDP.MKTP.KD.ZG,3.298028751372653
RUS,SH.DYN.MORT,6.448222161624805
RUS,SP.DYN.LE00.IN,6.202473403109123
RUS,SP.DYN.LE00.MA.IN,6.1085819660753735
RUS,SP.RUR.TOTL.ZS,6.306679276956024
RUS,SP.URB.TOTL.IN.ZS,6.296692083094749
SAU,EG.USE.PCAP.KG.OE,5.046948162749267
SAU,EN.ATM.GHGT.KT.CE,5.9984057777644875
SAU,FS.AST.PRVT.GD.ZS,3.4547887709181673
SAU,NE.EXP.GNFS.ZS,4.973851460343511
SAU,NE.IMP.GNFS.ZS,4.473081142053265
SAU,NV.AGR.TOTL.ZS,2.940946742778771
SAU,NY.GDP.MKTP.CD,4.831000637897031
SAU,NY.GDP.MKTP.KD.ZG,3.713841613010114
SAU,SH.DYN.MORT,6.461109920728119
SAU,SP.DYN.LE00.IN,6.331485786534756
SAU,SP.DYN.LE00.MA.IN,6.343062397287838
SAU,SP.RUR.TOTL.ZS,6.440967850830812
SAU,SP.URB.TOTL.IN.ZS,6.488868539332145
TUR,EG.USE.PCAP.KG.OE,4.937749832477055
TUR,EN.ATM.GHGT.KT.CE,5.504431990321855
TUR,FS.AST.PRVT.GD.ZS,5.550294153870947
TUR,NE.EXP.GNFS.ZS,4.384557608240331
TUR,NE.IMP.GNFS.ZS,3.8337941577306354
TUR,NV.AGR.TOTL.ZS,4.225261915799477
TUR,NY.GDP.MKTP.CD,4.625534235107694
TUR,NY.GDP.MKTP.KD.ZG,3.927504010242266
TUR,SH.DYN.MORT,6.504838013444877
TUR,SP.DYN.LE00.IN,6.399202030835251
TUR,SP.DYN.LE00.MA.IN,6.4162343961828565
TUR,SP.RUR.TOTL.ZS,6.517285902079724
TUR,SP.URB.TOTL.IN.ZS,6.495724572023416
USA,EG.USE.PCAP.KG.OE,4.818725338779151
USA,EN.ATM.GHGT.KT.CE,4.480056510211336
USA,FS.AST.PRVT.GD.ZS,3.343965171513226
USA,NE.EXP.GNFS.ZS,4.550048118437344
USA,NE.IMP.GNFS.ZS,3.7220123001097476
USA,NV.AGR.TOTL.ZS,3.971840627998468
USA,NY.GDP.MKTP.CD,6.157321660403434
USA,NY.GDP.MKTP.KD.ZG,3.590840512948003
USA,SH.DYN.MORT,6.137586975198284
USA,SP.DYN.LE00.IN,5.424416655329538
USA,SP.DYN.LE00.MA.IN,5.325133194377159
USA,SP.RUR.TOTL.ZS,6.477016157526618
USA,SP.URB.TOTL.IN.ZS,6.478484677982591
ZAF,EG.USE.PCAP.KG.OE,3.8290810151797694
ZAF,EN.ATM.GHGT.KT.CE,4.514725113102543
ZAF,FS.AST.PRVT.GD.ZS,3.4792500547557506
ZAF,NE.EXP.GNFS.ZS,3.417635275343062
ZAF,NE.IMP.GNFS.ZS,3.7969814815885976
ZAF,NV.AGR.TOTL.ZS,4.826554789920587
ZAF,NY.GDP.MKTP.CD,4.983487896200682
ZAF,NY.GDP.MKTP.KD.ZG,4.2020130085360075
ZAF,SH.DYN.MORT,6.13924603517701
ZAF,SP.DYN.LE00.IN,6.436310358592885
ZAF,SP.DYN.LE00.MA.IN,6.434991938524447
ZAF,SP.RUR.TOTL.ZS,6.515817717583126
ZAF,SP.URB.TOTL.IN.ZS,6.511905364254463
