country_code,year,y_true,y_pred,feature_code
GBR,2009,81.031,80.98531743033502,SP.URB.TOTL.IN.ZS
GBR,2010,81.302,81.35446025851851,SP.URB.TOTL.IN.ZS
IDN,2008,48.335,48.40762828340817,SP.URB.TOTL.IN.ZS
IDN,2009,49.134,49.28781635349769,SP.URB.TOTL.IN.ZS
IDN,2010,49.914,50.44963867608945,SP.URB.TOTL.IN.ZS
IND,2008,30.246,30.326631317909744,SP.URB.TOTL.IN.ZS
IND,2009,30.587,30.62929846514551,SP.URB.TOTL.IN.ZS
IND,2010,30.93,31.033908029524607,SP.URB.TOTL.IN.ZS
ITA,2008,68.092,68.12415772487667,SP.URB.TOTL.IN.ZS
ITA,2009,68.209,68.24725200829761,SP.URB.TOTL.IN.ZS
ITA,2010,68.327,68.36665340599167,SP.URB.TOTL.IN.ZS
JPN,2008,89.103,89.6600183893128,SP.URB.TOTL.IN.ZS
JPN,2009,89.989,90.74048847041607,SP.URB.TOTL.IN.ZS
JPN,2010,90.812,91.75308266350928,SP.URB.TOTL.IN.ZS
KOR,2008,81.733,81.73218902332138,SP.URB.TOTL.IN.ZS
KOR,2009,81.835,81.72922273513322,SP.URB.TOTL.IN.ZS
KOR,2010,81.936,81.05244903921461,SP.URB.TOTL.IN.ZS
MEX,2008,77.222,77.22007302831346,SP.URB.TOTL.IN.ZS
MEX,2009,77.52,77.52907723438707,SP.URB.TOTL.IN.ZS
MEX,2010,77.815,77.84082885583992,SP.URB.TOTL.IN.ZS
RUS,2008,73.598,73.55992637901556,SP.URB.TOTL.IN.ZS
RUS,2009,73.642,73.59330750623712,SP.URB.TOTL.IN.ZS
RUS,2010,73.687,73.63870645000361,SP.URB.TOTL.IN.ZS
SAU,2008,81.649,81.74806448540339,SP.URB.TOTL.IN.ZS
SAU,2009,81.867,82.03641629555639,SP.URB.TOTL.IN.ZS
SAU,2010,82.084,82.24599811311361,SP.URB.TOTL.IN.ZS
TUR,2008,69.651,69.64973895534342,SP.URB.TOTL.IN.ZS
TUR,2009,70.241,70.25751212737273,SP.URB.TOTL.IN.ZS
TUR,2010,70.825,70.86423579409461,SP.URB.TOTL.IN.ZS
USA,2008,80.438,80.37155581443938,SP.URB.TOTL.IN.ZS
USA,2009,80.606,80.601209596693,SP.URB.TOTL.IN.ZS
USA,2010,80.772,80.78626618168755,SP.URB.TOTL.IN.ZS
ZAF,2008,61.154,61.15830052176573,SP.URB.TOTL.IN.ZS
ZAF,2009,61.687,61.71726393548015,SP.URB.TOTL.IN.ZS
ZAF,2010,62.218,62.2882262994354,SP.URB.TOTL.IN.ZS
ARG,2011,90.99,91.03808124234259,SP.URB.TOTL.IN.ZS
ARG,2012,91.121,91.18388552592054,SP.URB.TOTL.IN.ZS
ARG,2013,91.249,91.31870892195052,SP.URB.TOTL.IN.ZS
AUS,2011,85.3,85.34954756927243,SP.URB.TOTL.IN.ZS
AUS,2012,85.402,85.26375171330926,SP.URB.TOTL.IN.ZS
AUS,2013,85.502,85.32523298462831,SP.URB.TOTL.IN.ZS
BRA,2011,84.631,85.0042230514651,SP.URB.TOTL.IN.ZS
BRA,2012,84.923,85.2544121843408,SP.URB.TOTL.IN.ZS
BRA,2013,85.209,85.48413665307504,SP.URB.TOTL.IN.ZS
CAN,2011,81.096,81.3560979559989,SP.URB.TOTL.IN.ZS
CAN,2012,81.137,81.59682007751691,SP.URB.TOTL.IN.ZS
CAN,2013,81.178,81.6616626391633,SP.URB.TOTL.IN.ZS
CHN,2011,50.511,50.852831447442966,SP.URB.TOTL.IN.ZS
CHN,2012,51.765,52.27504808491409,SP.URB.TOTL.IN.ZS
CHN,2013,53.013,53.66957814954172,SP.URB.TOTL.IN.ZS
DEU,2011,77.16,77.17106223961508,SP.URB.TOTL.IN.ZS
DEU,2012,77.17,77.36484243961851,SP.URB.TOTL.IN.ZS
DEU,2013,77.18,77.46804661938373,SP.URB.TOTL.IN.ZS
EUU,2011,73.1680577319247,73.16888670995613,SP.URB.TOTL.IN.ZS
EUU,2012,73.356888238534,73.41984205140255,SP.URB.TOTL.IN.ZS
EUU,2013,73.5394058330158,73.64741076077736,SP.URB.TOTL.IN.ZS
FRA,2011,78.622,78.54310803534716,SP.URB.TOTL.IN.ZS
FRA,2012,78.878,78.84454900056508,SP.URB.TOTL.IN.ZS
FRA,2013,79.135,79.13987137072695,SP.URB.TOTL.IN.ZS
GBR,2011,81.57,81.5059711140787,SP.URB.TOTL.IN.ZS
GBR,2012,81.837,81.89876896016054,SP.URB.TOTL.IN.ZS
GBR,2013,82.102,82.136825898796,SP.URB.TOTL.IN.ZS
IDN,2011,50.595,50.614629793122674,SP.URB.TOTL.IN.ZS
IDN,2012,51.276,51.42276250232437,SP.URB.TOTL.IN.ZS
IDN,2013,51.955,52.14675194696713,SP.URB.TOTL.IN.ZS
IND,2011,31.276,31.18849556932127,SP.URB.TOTL.IN.ZS
IND,2012,31.634,31.626993428440798,SP.URB.TOTL.IN.ZS
IND,2013,32.003,31.94857503086329,SP.URB.TOTL.IN.ZS
ITA,2011,68.444,68.41346694606018,SP.URB.TOTL.IN.ZS
ITA,2012,68.684,68.57895690797312,SP.URB.TOTL.IN.ZS
ITA,2013,68.979,68.76960568571045,SP.URB.TOTL.IN.ZS
JPN,2011,91.069,91.68774949785724,SP.URB.TOTL.IN.ZS
JPN,2012,91.148,91.75156259263278,SP.URB.TOTL.IN.ZS
JPN,2013,91.226,91.68160836165784,SP.URB.TOTL.IN.ZS
KOR,2011,81.923,82.04828084453098,SP.URB.TOTL.IN.ZS
KOR,2012,81.851,82.01331965762196,SP.URB.TOTL.IN.ZS
KOR,2013,81.779,81.79255614526497,SP.URB.TOTL.IN.ZS
MEX,2011,78.111,78.12986978545017,SP.URB.TOTL.IN.ZS
MEX,2012,78.405,78.41852663876647,SP.URB.TOTL.IN.ZS
MEX,2013,78.699,78.71322080235689,SP.URB.TOTL.IN.ZS
RUS,2011,73.732,73.7111421186001,SP.URB.TOTL.IN.ZS
RUS,2012,73.791,73.75257090367546,SP.URB.TOTL.IN.ZS
RUS,2013,73.863,73.81428063676907,SP.URB.TOTL.IN.ZS
SAU,2011,82.302,82.3417947712196,SP.URB.TOTL.IN.ZS
SAU,2012,82.52,82.54849327419382,SP.URB.TOTL.IN.ZS
SAU,2013,82.74,82.75259139403695,SP.URB.TOTL.IN.ZS
TUR,2011,71.402,71.4751175277828,SP.URB.TOTL.IN.ZS
TUR,2012,71.974,72.02093024110827,SP.URB.TOTL.IN.ZS
TUR,2013,72.531,72.58709275958046,SP.URB.TOTL.IN.ZS
USA,2011,80.944,81.11038234416571,SP.URB.TOTL.IN.ZS
USA,2012,81.119,81.2509689043107,SP.URB.TOTL.IN.ZS
USA,2013,81.299,81.42203838725854,SP.URB.TOTL.IN.ZS
ZAF,2011,62.746,62.770316690048475,SP.URB.TOTL.IN.ZS
ZAF,2012,63.272,63.31399816353634,SP.URB.TOTL.IN.ZS
ZAF,2013,63.793,63.852100456133996,SP.URB.TOTL.IN.ZS
ARG,2014,91.377,91.44445703904628,SP.URB.TOTL.IN.ZS
ARG,2015,91.503,91.5712663910101,SP.URB.TOTL.IN.ZS
ARG,2016,91.627,91.70276423811185,SP.URB.TOTL.IN.ZS
AUS,2014,85.602,85.58355797164157,SP.URB.TOTL.IN.ZS
AUS,2015,85.701,85.63951292165234,SP.URB.TOTL.IN.ZS
AUS,2016,85.8,85.75787806941358,SP.URB.TOTL.IN.ZS
BRA,2014,85.492,85.62078162331622,SP.URB.TOTL.IN.ZS
BRA,2015,85.77,85.88247621947374,SP.URB.TOTL.IN.ZS
BRA,2016,86.042,86.21273772118477,SP.URB.TOTL.IN.ZS
CAN,2014,81.218,81.45448823895057,SP.URB.TOTL.IN.ZS
CAN,2015,81.259,81.46527700610449,SP.URB.TOTL.IN.ZS
CAN,2016,81.3,81.51827512276788,SP.URB.TOTL.IN.ZS
CHN,2014,54.259,54.63596862006999,SP.URB.TOTL.IN.ZS
CHN,2015,55.5,55.91129268159973,SP.URB.TOTL.IN.ZS
CHN,2016,56.736,57.181439680752284,SP.URB.TOTL.IN.ZS
DEU,2014,77.19,77.34937365640802,SP.URB.TOTL.IN.ZS
DEU,2015,77.2,77.364117484715,SP.URB.TOTL.IN.ZS
DEU,2016,77.224,77.39485528070476,SP.URB.TOTL.IN.ZS
EUU,2014,73.7178485782486,73.79430252109196,SP.URB.TOTL.IN.ZS
EUU,2015,73.9081840731671,73.97362670967604,SP.URB.TOTL.IN.ZS
EUU,2016,74.1050733249803,74.16168655325848,SP.URB.TOTL.IN.ZS
FRA,2014,79.394,79.41486018819661,SP.URB.TOTL.IN.ZS
FRA,2015,79.655,79.67402905433975,SP.URB.TOTL.IN.ZS
FRA,2016,79.917,79.93893599121881,SP.URB.TOTL.IN.ZS
GBR,2014,82.365,82.3875863901048,SP.URB.TOTL.IN.ZS
GBR,2015,82.626,82.66532339656202,SP.URB.TOTL.IN.ZS
GBR,2016,82.886,82.88226429234139,SP.URB.TOTL.IN.ZS
IDN,2014,52.635,52.85358820437622,SP.URB.TOTL.IN.ZS
IDN,2015,53.313,53.53099144544002,SP.URB.TOTL.IN.ZS
IDN,2016,53.989,54.19644815760002,SP.URB.TOTL.IN.ZS
IND,2014,32.384,32.34837061756457,SP.URB.TOTL.IN.ZS
IND,2015,32.777,32.84005401788451,SP.URB.TOTL.IN.ZS
IND,2016,33.182,33.18151128573165,SP.URB.TOTL.IN.ZS
ITA,2014,69.272,69.04007084102093,SP.URB.TOTL.IN.ZS
ITA,2015,69.565,69.29400573640316,SP.URB.TOTL.IN.ZS
ITA,2016,69.855,69.57689421466742,SP.URB.TOTL.IN.ZS
JPN,2014,91.304,91.2764711352292,SP.URB.TOTL.IN.ZS
JPN,2015,91.381,91.13730415598238,SP.URB.TOTL.IN.ZS
JPN,2016,91.457,91.0947157564693,SP.URB.TOTL.IN.ZS
KOR,2014,81.707,81.6726312874604,SP.URB.TOTL.IN.ZS
KOR,2015,81.634,81.69964637850373,SP.URB.TOTL.IN.ZS
KOR,2016,81.562,81.72105788122946,SP.URB.TOTL.IN.ZS
MEX,2014,78.993,78.99519687977701,SP.URB.TOTL.IN.ZS
MEX,2015,79.285,79.29242528235196,SP.URB.TOTL.IN.ZS
MEX,2016,79.577,79.58615869649866,SP.URB.TOTL.IN.ZS
RUS,2014,73.95,73.90155642496515,SP.URB.TOTL.IN.ZS
RUS,2015,74.05,73.97813375479282,SP.URB.TOTL.IN.ZS
RUS,2016,74.164,74.06988362119186,SP.URB.TOTL.IN.ZS
SAU,2014,82.96,82.96955216308092,SP.URB.TOTL.IN.ZS
SAU,2015,83.18,83.19088020934998,SP.URB.TOTL.IN.ZS
SAU,2016,83.401,83.41277564308828,SP.URB.TOTL.IN.ZS
TUR,2014,73.077,73.17564050077257,SP.URB.TOTL.IN.ZS
TUR,2015,73.611,73.72182963856125,SP.URB.TOTL.IN.ZS
TUR,2016,74.134,74.29134242018652,SP.URB.TOTL.IN.ZS
USA,2014,81.483,81.52301541822442,SP.URB.TOTL.IN.ZS
USA,2015,81.671,81.73657096620111,SP.URB.TOTL.IN.ZS
USA,2016,81.862,81.92532663919636,SP.URB.TOTL.IN.ZS
ZAF,2014,64.312,64.35239880560869,SP.URB.TOTL.IN.ZS
ZAF,2015,64.828,64.87889147571576,SP.URB.TOTL.IN.ZS
ZAF,2016,65.341,65.40989904459855,SP.URB.TOTL.IN.ZS
ARG,2017,91.749,91.78573339077613,SP.URB.TOTL.IN.ZS
ARG,2018,91.87,91.90528403376778,SP.URB.TOTL.IN.ZS
ARG,2019,91.991,92.01995233237469,SP.URB.TOTL.IN.ZS
AUS,2017,85.904,85.91174418298935,SP.URB.TOTL.IN.ZS
AUS,2018,86.012,86.01303676001453,SP.URB.TOTL.IN.ZS
AUS,2019,86.124,86.1068139150996,SP.URB.TOTL.IN.ZS
BRA,2017,86.309,86.37597280874454,SP.URB.TOTL.IN.ZS
BRA,2018,86.569,86.62365705915536,SP.URB.TOTL.IN.ZS
BRA,2019,86.824,86.88559595376285,SP.URB.TOTL.IN.ZS
CAN,2017,81.35,81.35309675136591,SP.URB.TOTL.IN.ZS
CAN,2018,81.411,81.40593397872122,SP.URB.TOTL.IN.ZS
CAN,2019,81.482,81.46735884799166,SP.URB.TOTL.IN.ZS
CHN,2017,57.96,57.93832887354195,SP.URB.TOTL.IN.ZS
CHN,2018,59.152,59.16150242946769,SP.URB.TOTL.IN.ZS
CHN,2019,60.308,60.41957437774164,SP.URB.TOTL.IN.ZS
DEU,2017,77.261,77.33046760529551,SP.URB.TOTL.IN.ZS
DEU,2018,77.312,77.37698650342696,SP.URB.TOTL.IN.ZS
DEU,2019,77.376,77.37838668013143,SP.URB.TOTL.IN.ZS
EUU,2017,74.3075095447834,74.28574147030037,SP.URB.TOTL.IN.ZS
EUU,2018,74.5166970796689,74.48767344693653,SP.URB.TOTL.IN.ZS
EUU,2019,74.7373263738728,74.6913750242183,SP.URB.TOTL.IN.ZS
FRA,2017,80.18,80.19592772910582,SP.URB.TOTL.IN.ZS
FRA,2018,80.444,80.45517978329664,SP.URB.TOTL.IN.ZS
FRA,2019,80.709,80.7260466135082,SP.URB.TOTL.IN.ZS
GBR,2017,83.143,83.15556488408289,SP.URB.TOTL.IN.ZS
GBR,2018,83.398,83.43081628135423,SP.URB.TOTL.IN.ZS
GBR,2019,83.652,83.68220979128023,SP.URB.TOTL.IN.ZS
IDN,2017,54.659,54.67876020365519,SP.URB.TOTL.IN.ZS
IDN,2018,55.325,55.326934897072505,SP.URB.TOTL.IN.ZS
IDN,2019,55.985,56.02271938981933,SP.URB.TOTL.IN.ZS
IND,2017,33.6,33.54666059081181,SP.URB.TOTL.IN.ZS
IND,2018,34.03,33.963678313652906,SP.URB.TOTL.IN.ZS
IND,2019,34.472,34.37808000963979,SP.URB.TOTL.IN.ZS
ITA,2017,70.144,70.11289986398592,SP.URB.TOTL.IN.ZS
ITA,2018,70.438,70.38238710612839,SP.URB.TOTL.IN.ZS
ITA,2019,70.736,70.73023201639666,SP.URB.TOTL.IN.ZS
JPN,2017,91.535,91.67868069554171,SP.URB.TOTL.IN.ZS
JPN,2018,91.616,92.09220275473791,SP.URB.TOTL.IN.ZS
JPN,2019,91.698,92.06271278602091,SP.URB.TOTL.IN.ZS
KOR,2017,81.503,81.64645412350086,SP.URB.TOTL.IN.ZS
KOR,2018,81.459,81.65709726647734,SP.URB.TOTL.IN.ZS
KOR,2019,81.43,81.61564965366648,SP.URB.TOTL.IN.ZS
MEX,2017,79.867,79.86685501373496,SP.URB.TOTL.IN.ZS
MEX,2018,80.156,80.14631713836052,SP.URB.TOTL.IN.ZS
MEX,2019,80.444,80.43424313480072,SP.URB.TOTL.IN.ZS
RUS,2017,74.292,74.20600723510194,SP.URB.TOTL.IN.ZS
RUS,2018,74.433,74.35188150427251,SP.URB.TOTL.IN.ZS
RUS,2019,74.587,74.48564725664579,SP.URB.TOTL.IN.ZS
SAU,2017,83.622,83.61868924998232,SP.URB.TOTL.IN.ZS
SAU,2018,83.844,83.84757960083387,SP.URB.TOTL.IN.ZS
SAU,2019,84.065,84.07206184348092,SP.URB.TOTL.IN.ZS
TUR,2017,74.644,74.8223431937208,SP.URB.TOTL.IN.ZS
TUR,2018,75.143,75.35600299787023,SP.URB.TOTL.IN.ZS
TUR,2019,75.63,75.80999078720825,SP.URB.TOTL.IN.ZS
USA,2017,82.058,82.03750021673562,SP.URB.TOTL.IN.ZS
USA,2018,82.256,82.22933487882054,SP.URB.TOTL.IN.ZS
USA,2019,82.459,82.42793296218201,SP.URB.TOTL.IN.ZS
ZAF,2017,65.85,65.90626597753982,SP.URB.TOTL.IN.ZS
ZAF,2018,66.355,66.44873576533227,SP.URB.TOTL.IN.ZS
ZAF,2019,66.856,66.96730277487165,SP.URB.TOTL.IN.ZS
ARG,2005,9.96899999999999,9.989273981051237,SP.RUR.TOTL.ZS
ARG,2006,9.8,9.867772130874709,SP.RUR.TOTL.ZS
ARG,2007,9.634,9.714534603625003,SP.RUR.TOTL.ZS
AUS,2005,15.418,15.66825001868266,SP.RUR.TOTL.ZS
AUS,2006,15.3,15.593955357231717,SP.RUR.TOTL.ZS
AUS,2007,15.178,15.44089255024937,SP.RUR.TOTL.ZS
BRA,2005,17.166,17.320331178527383,SP.RUR.TOTL.ZS
BRA,2006,16.857,17.108614939052323,SP.RUR.TOTL.ZS
BRA,2007,16.552,16.74579757513726,SP.RUR.TOTL.ZS
CAN,2005,19.878,19.710349065293748,SP.RUR.TOTL.ZS
CAN,2006,19.787,19.67137416632337,SP.RUR.TOTL.ZS
CAN,2007,19.604,19.550729624480738,SP.RUR.TOTL.ZS
CHN,2005,57.478,57.224287559444576,SP.RUR.TOTL.ZS
CHN,2006,56.132,55.52335185520674,SP.RUR.TOTL.ZS
CHN,2007,54.801,53.93968434196019,SP.RUR.TOTL.ZS
DEU,2005,24.02,23.980527254665006,SP.RUR.TOTL.ZS
DEU,2006,23.821,23.74500716402148,SP.RUR.TOTL.ZS
DEU,2007,23.622,23.545496747101314,SP.RUR.TOTL.ZS
EUU,2005,28.1000691069524,28.153862834678407,SP.RUR.TOTL.ZS
EUU,2006,27.8833514558721,27.924095738382512,SP.RUR.TOTL.ZS
EUU,2007,27.6636012860991,27.683340652767264,SP.RUR.TOTL.ZS
FRA,2005,22.87,22.908945441149697,SP.RUR.TOTL.ZS
FRA,2006,22.623,22.656777302147333,SP.RUR.TOTL.ZS
FRA,2007,22.379,22.40735616621027,SP.RUR.TOTL.ZS
GBR,2005,20.085,20.284071848466702,SP.RUR.TOTL.ZS
GBR,2006,19.801,19.97401401483269,SP.RUR.TOTL.ZS
GBR,2007,19.521,19.61297894345516,SP.RUR.TOTL.ZS
IDN,2005,54.058,54.143763592174096,SP.RUR.TOTL.ZS
IDN,2006,53.262,53.06788180195897,SP.RUR.TOTL.ZS
IDN,2007,52.465,52.17378803928732,SP.RUR.TOTL.ZS
IND,2005,70.765,70.82542986543876,SP.RUR.TOTL.ZS
IND,2006,70.431,70.43403270033106,SP.RUR.TOTL.ZS
IND,2007,70.094,70.0624207732075,SP.RUR.TOTL.ZS
ITA,2005,32.262,32.32958874705051,SP.RUR.TOTL.ZS
ITA,2006,32.144,32.2029004084479,SP.RUR.TOTL.ZS
ITA,2007,32.026,32.07474510749353,SP.RUR.TOTL.ZS
JPN,2005,14.022,13.404475946969567,SP.RUR.TOTL.ZS
JPN,2006,12.882,11.451395671834227,SP.RUR.TOTL.ZS
JPN,2007,11.854,9.80132566867756,SP.RUR.TOTL.ZS
KOR,2005,18.655,18.95466259067508,SP.RUR.TOTL.ZS
KOR,2006,18.472,18.882857737527704,SP.RUR.TOTL.ZS
KOR,2007,18.369,18.70576800944588,SP.RUR.TOTL.ZS
MEX,2005,23.692,23.76533885491495,SP.RUR.TOTL.ZS
MEX,2006,23.384,23.48076259946656,SP.RUR.TOTL.ZS
MEX,2007,23.08,23.182241634093415,SP.RUR.TOTL.ZS
RUS,2005,26.537,26.594013183316,SP.RUR.TOTL.ZS
RUS,2006,26.492,26.54705926557692,SP.RUR.TOTL.ZS
RUS,2007,26.447,26.50125205238387,SP.RUR.TOTL.ZS
SAU,2005,19.021,19.191420419862027,SP.RUR.TOTL.ZS
SAU,2006,18.796,19.08014150931355,SP.RUR.TOTL.ZS
SAU,2007,18.573,18.981329988072677,SP.RUR.TOTL.ZS
TUR,2005,32.16,32.248716343295456,SP.RUR.TOTL.ZS
TUR,2006,31.55,31.711579730112792,SP.RUR.TOTL.ZS
TUR,2007,30.947,31.131245982885538,SP.RUR.TOTL.ZS
USA,2005,20.072,20.149385655681854,SP.RUR.TOTL.ZS
USA,2006,19.901,20.02579511569741,SP.RUR.TOTL.ZS
USA,2007,19.731,19.889993038009795,SP.RUR.TOTL.ZS
ZAF,2005,40.464,40.5428773183716,SP.RUR.TOTL.ZS
ZAF,2006,39.923,40.01755866672363,SP.RUR.TOTL.ZS
ZAF,2007,39.384,39.468483451545154,SP.RUR.TOTL.ZS
ARG,2008,9.47,9.486866264856385,SP.RUR.TOTL.ZS
ARG,2009,9.309,9.330456067220787,SP.RUR.TOTL.ZS
ARG,2010,9.151,9.173402308529653,SP.RUR.TOTL.ZS
AUS,2008,15.057,15.158953370244177,SP.RUR.TOTL.ZS
AUS,2009,14.937,15.027384019013642,SP.RUR.TOTL.ZS
AUS,2010,14.818,14.842998583565496,SP.RUR.TOTL.ZS
BRA,2008,16.251,16.26630818430259,SP.RUR.TOTL.ZS
BRA,2009,15.956,15.960580550747107,SP.RUR.TOTL.ZS
BRA,2010,15.665,15.731088199496252,SP.RUR.TOTL.ZS
CAN,2008,19.422,19.34818095302543,SP.RUR.TOTL.ZS
CAN,2009,19.242,19.139030910272233,SP.RUR.TOTL.ZS
CAN,2010,19.063,18.924753061362935,SP.RUR.TOTL.ZS
CHN,2008,53.461,53.143426171078914,SP.RUR.TOTL.ZS
CHN,2009,52.12,51.84906316466635,SP.RUR.TOTL.ZS
CHN,2010,50.774,50.648695946754216,SP.RUR.TOTL.ZS
DEU,2008,23.425,23.42810384928665,SP.RUR.TOTL.ZS
DEU,2009,23.229,23.217757775532327,SP.RUR.TOTL.ZS
DEU,2010,23.034,23.03623142014805,SP.RUR.TOTL.ZS
EUU,2008,27.4449691424079,27.413845590313784,SP.RUR.TOTL.ZS
