country_code,year,y_true,y_pred,feature_code,lambda_A,lambda_M
ARG,2005,90.031,90.06202348867507,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2006,90.2,90.18696448102548,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2007,90.366,90.34689034111702,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2008,90.53,90.56096628298098,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2009,90.691,90.73084537901558,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2010,90.849,90.89584161969694,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2011,90.99,91.03482459940784,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2012,91.121,91.19334953620924,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2013,91.249,91.33429692118517,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2014,91.377,91.43613235589584,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2015,91.503,91.56778891688901,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2016,91.627,91.69287725206249,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2017,91.749,91.74782872558634,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2018,91.87,91.88422965726994,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2019,91.991,92.00259934262179,SP.URB.TOTL.IN.ZS,10.0,10.0
ARG,2005,9.96899999999999,9.973831526876797,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2006,9.8,9.84177113972024,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2007,9.634,9.685632357380587,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2008,9.47,9.471089387967712,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2009,9.309,9.310106821664798,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2010,9.151,9.151624452956618,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2011,9.01000000000001,8.996069299369612,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2012,8.879,8.85044946619205,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2013,8.751,8.717938515036813,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2014,8.623,8.597635796683061,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2015,8.497,8.474446979489727,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2016,8.373,8.349511743976034,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2017,8.251,8.233793351859193,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2018,8.13,8.117388046940263,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2019,8.009,8.001985855282964,SP.RUR.TOTL.ZS,0.1,10.0
ARG,2005,71.008,70.99878610776418,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2006,71.179,71.15463633796497,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2007,71.347,71.32359571329184,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2008,71.513,71.51189707360291,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2009,71.676,71.67523222786926,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2010,71.837,71.84057263260159,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2011,71.995,72.02186729549004,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2012,72.151,72.1792600427774,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2013,72.306,72.33578969678649,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2014,72.46,72.49009075808578,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2015,72.614,72.64451626619056,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2016,72.768,72.80102076003968,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2017,72.924,72.93543134093004,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2018,73.082,73.08947259958366,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2019,73.242,73.2438767485655,SP.DYN.LE00.MA.IN,1.0,10.0
ARG,2005,74.451,74.44495096850065,SP.DYN.LE00.IN,1.0,10.0
ARG,2006,74.62,74.60246887823911,SP.DYN.LE00.IN,1.0,10.0
ARG,2007,74.787,74.77008679389331,SP.DYN.LE00.IN,1.0,10.0
ARG,2008,74.952,74.95264197434969,SP.DYN.LE00.IN,1.0,10.0
ARG,2009,75.116,75.11571087740094,SP.DYN.LE00.IN,1.0,10.0
ARG,2010,75.278,75.28123575198457,SP.DYN.LE00.IN,1.0,10.0
ARG,2011,75.439,75.4616807953602,SP.DYN.LE00.IN,1.0,10.0
ARG,2012,75.598,75.62153992223075,SP.DYN.LE00.IN,1.0,10.0
ARG,2013,75.756,75.78133064685255,SP.DYN.LE00.IN,1.0,10.0
ARG,2014,75.913,75.93927813263537,SP.DYN.LE00.IN,1.0,10.0
ARG,2015,76.068,76.09733715728328,SP.DYN.LE00.IN,1.0,10.0
ARG,2016,76.221,76.25555520461566,SP.DYN.LE00.IN,1.0,10.0
ARG,2017,76.372,76.39074841995753,SP.DYN.LE00.IN,1.0,10.0
ARG,2018,76.52,76.54190730136065,SP.DYN.LE00.IN,1.0,10.0
ARG,2019,76.667,76.6893077110754,SP.DYN.LE00.IN,1.0,10.0
ARG,2005,198737095012.282,197848963442.64212,NY.GDP.MKTP.CD,0.1,10.0
ARG,2006,232557260817.308,210942009044.86725,NY.GDP.MKTP.CD,0.1,10.0
ARG,2007,287530508430.568,240954548668.16925,NY.GDP.MKTP.CD,0.1,10.0
ARG,2008,361558037110.419,309461888196.8616,NY.GDP.MKTP.CD,0.1,10.0
ARG,2009,332976484577.619,374648704603.73584,NY.GDP.MKTP.CD,0.1,10.0
ARG,2010,423627422092.49,339214845028.23773,NY.GDP.MKTP.CD,0.1,10.0
ARG,2011,530163281574.658,393689231126.6599,NY.GDP.MKTP.CD,0.1,10.0
ARG,2012,545982375701.128,477981609568.87274,NY.GDP.MKTP.CD,0.1,10.0
ARG,2013,552025140252.246,490480210256.091,NY.GDP.MKTP.CD,0.1,10.0
ARG,2014,526319673731.638,563485524324.7191,NY.GDP.MKTP.CD,0.1,10.0
ARG,2015,594749285413.212,527110106050.1144,NY.GDP.MKTP.CD,0.1,10.0
ARG,2016,557531376217.967,599758906055.5024,NY.GDP.MKTP.CD,0.1,10.0
ARG,2017,643628665302.155,552535471650.9489,NY.GDP.MKTP.CD,0.1,10.0
ARG,2018,517626700412.885,633660408585.3069,NY.GDP.MKTP.CD,0.1,10.0
ARG,2019,445445177459.453,511358838792.5628,NY.GDP.MKTP.CD,0.1,10.0
ARG,2005,17.3053942367662,18.89939934333711,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2006,17.4067852681036,18.98557600323517,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2007,18.2824203070644,18.98861693978801,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2008,18.341772996414,19.284370254316585,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2009,14.4961418494061,19.293426047328047,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2010,16.0371898581987,15.348489450903196,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2011,16.7569458546489,16.265420139425174,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2012,14.2886829096862,16.942849089160816,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2013,14.7167556136651,14.759288810195791,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2014,14.0013150558519,14.355235538395402,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2015,11.7805740385254,13.636349363132341,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2016,13.5667926798789,11.926256399759895,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2017,13.9693177780045,12.363401161487472,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2018,16.5551102873443,13.13538760814964,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2019,15.1879398225576,14.768499579230607,NE.IMP.GNFS.ZS,0.1,10.0
ARG,2005,23.2458767338576,22.794233773574167,NE.EXP.GNFS.ZS,0.1,10.0
ARG,2006,23.0266946038115,23.61697283909534,NE.EXP.GNFS.ZS,0.1,10.0
ARG,2007,22.6627503115066,23.743217274989163,NE.EXP.GNFS.ZS,0.1,10.0
ARG,2008,22.0609003826242,23.64893764844408,NE.EXP.GNFS.ZS,0.1,10.0
ARG,2009,19.5609850560818,23.581642216071412,NE.EXP.GNFS.ZS,0.1,10.0
ARG,2010,18.9338234053709,21.64869589696907,NE.EXP.GNFS.ZS,0.1,10.0
ARG,2011,18.4492091453155,18.97259537004551,NE.EXP.GNFS.ZS,0.1,10.0
ARG,2012,16.2378594620246,19.247626001358388,NE.EXP.GNFS.ZS,0.1,10.0
ARG,2013,14.6171733884386,17.715318989936662,NE.EXP.GNFS.ZS,0.1,10.0
