country_code,feature_code,lambda_A,lambda_M,guiding_score
ARG,SP.URB.TOTL.IN.ZS,0.05,10.0,6.447869350313491
ARG,SP.RUR.TOTL.ZS,0.05,10.0,6.500006499601182
ARG,SP.DYN.LE00.MA.IN,2.0,10.0,6.509328267720253
ARG,SP.DYN.LE00.IN,5.0,5.0,6.510505817360415
ARG,NY.GDP.MKTP.CD,0.05,10.0,4.9588496289808734
ARG,NE.IMP.GNFS.ZS,0.05,10.0,4.165032130248032
ARG,NE.EXP.GNFS.ZS,0.05,10.0,4.862324705632973
ARG,NY.GDP.MKTP.KD.ZG,10.0,2.0,4.931406312155326
ARG,SH.DYN.MORT,0.05,10.0,6.467495251920297
ARG,EG.USE.PCAP.KG.OE,10.0,0.05,4.137307803559585
ARG,EN.ATM.GHGT.KT.CE,0.05,10.0,5.010784221802668
ARG,NV.AGR.TOTL.ZS,1.0,10.0,3.0185262322766864
ARG,FS.AST.PRVT.GD.ZS,10.0,10.0,3.333232810737579
AUS,SP.URB.TOTL.IN.ZS,0.05,10.0,6.378940013705119
AUS,SP.RUR.TOTL.ZS,0.05,10.0,6.392686012060855
AUS,SP.DYN.LE00.MA.IN,0.05,10.0,6.018253718920013
AUS,SP.DYN.LE00.IN,0.1,2.0,6.196956337047085
AUS,NY.GDP.MKTP.CD,0.05,10.0,4.9452253425063795
AUS,NE.IMP.GNFS.ZS,0.05,10.0,3.828890196907609
AUS,NE.EXP.GNFS.ZS,2.0,2.0,3.824206764806151
AUS,NY.GDP.MKTP.KD.ZG,0.05,10.0,3.705433606900689
AUS,SH.DYN.MORT,1.0,10.0,5.980923727385109
AUS,EG.USE.PCAP.KG.OE,0.05,10.0,4.737274390964253
AUS,EN.ATM.GHGT.KT.CE,10.0,10.0,2.9033240876344832
AUS,NV.AGR.TOTL.ZS,0.5,10.0,3.477331479653076
AUS,FS.AST.PRVT.GD.ZS,0.05,10.0,5.670427998365302
BRA,SP.URB.TOTL.IN.ZS,0.05,10.0,6.432114223855689
BRA,SP.RUR.TOTL.ZS,0.05,10.0,6.479241767306039
BRA,SP.DYN.LE00.MA.IN,0.05,10.0,6.455497142719505
BRA,SP.DYN.LE00.IN,0.05,10.0,6.433798372540637
BRA,NY.GDP.MKTP.CD,0.05,10.0,5.186465552670493
BRA,NE.IMP.GNFS.ZS,1.0,10.0,3.538872251503677
BRA,NE.EXP.GNFS.ZS,2.0,10.0,3.963565226663217
BRA,NY.GDP.MKTP.KD.ZG,10.0,0.05,3.954503945391213
BRA,SH.DYN.MORT,0.05,0.05,6.13376486457172
BRA,EG.USE.PCAP.KG.OE,10.0,10.0,5.050446898389206
BRA,EN.ATM.GHGT.KT.CE,10.0,10.0,4.631336980067695
BRA,NV.AGR.TOTL.ZS,0.1,10.0,2.2066734691281056
BRA,FS.AST.PRVT.GD.ZS,0.05,0.05,5.435671406970939
CAN,SP.URB.TOTL.IN.ZS,10.0,10.0,5.880597456260339
CAN,SP.RUR.TOTL.ZS,0.1,10.0,5.863748487704196
CAN,SP.DYN.LE00.MA.IN,0.05,2.0,5.906725895910129
CAN,SP.DYN.LE00.IN,0.5,0.5,5.875765949411648
CAN,NY.GDP.MKTP.CD,0.05,10.0,4.953529409666389
CAN,NE.IMP.GNFS.ZS,10.0,10.0,4.128222190020823
CAN,NE.EXP.GNFS.ZS,0.05,5.0,4.481759045157928
CAN,NY.GDP.MKTP.KD.ZG,10.0,5.0,4.337179392401857
CAN,SH.DYN.MORT,0.05,10.0,5.937786551315111
CAN,EG.USE.PCAP.KG.OE,0.05,10.0,4.546901728336461
CAN,EN.ATM.GHGT.KT.CE,0.05,10.0,3.155877945522927
CAN,NV.AGR.TOTL.ZS,0.5,5.0,3.6329471350630733
CAN,FS.AST.PRVT.GD.ZS,0.05,10.0,1.8795560602077679
CHN,SP.URB.TOTL.IN.ZS,0.05,10.0,6.506457299202982
CHN,SP.RUR.TOTL.ZS,0.05,10.0,6.512523579587029
CHN,SP.DYN.LE00.MA.IN,0.05,10.0,6.1921786514539
CHN,SP.DYN.LE00.IN,0.05,10.0,6.265567713543927
CHN,NY.GDP.MKTP.CD,0.05,10.0,6.059246915043026
CHN,NE.IMP.GNFS.ZS,5.0,2.0,4.846613097608675
CHN,NE.EXP.GNFS.ZS,10.0,5.0,4.8755994526675295
CHN,NY.GDP.MKTP.KD.ZG,0.05,10.0,4.814887434662242
CHN,SH.DYN.MORT,0.05,10.0,6.529677140282175
CHN,EG.USE.PCAP.KG.OE,10.0,10.0,5.161323959669278
CHN,EN.ATM.GHGT.KT.CE,10.0,10.0,5.723762349949845
CHN,NV.AGR.TOTL.ZS,0.05,10.0,5.343410343873348
CHN,FS.AST.PRVT.GD.ZS,0.05,10.0,4.915108519972059
DEU,SP.URB.TOTL.IN.ZS,0.05,10.0,5.9882251043061405
DEU,SP.RUR.TOTL.ZS,2.0,10.0,6.001936143109765
DEU,SP.DYN.LE00.MA.IN,0.2,1.0,5.688295689533941
DEU,SP.DYN.LE00.IN,1.0,1.0,5.655831629240587
DEU,NY.GDP.MKTP.CD,0.05,0.5,4.417321244932553
DEU,NE.IMP.GNFS.ZS,5.0,10.0,4.292408198366784
DEU,NE.EXP.GNFS.ZS,5.0,10.0,4.34453727151748
DEU,NY.GDP.MKTP.KD.ZG,2.0,10.0,4.272631810747591
DEU,SH.DYN.MORT,0.05,10.0,5.291586448014582
DEU,EG.USE.PCAP.KG.OE,10.0,10.0,3.6783663053309086
DEU,EN.ATM.GHGT.KT.CE,10.0,0.05,4.644814018071122
DEU,NV.AGR.TOTL.ZS,2.0,0.05,3.2669957501308904
DEU,FS.AST.PRVT.GD.ZS,10.0,1.0,5.753551590276986
EUU,SP.URB.TOTL.IN.ZS,0.05,10.0,6.476706543731512
EUU,SP.RUR.TOTL.ZS,2.0,2.0,6.479523543613977
EUU,SP.DYN.LE00.MA.IN,0.2,2.0,6.137231875892166
EUU,SP.DYN.LE00.IN,0.5,5.0,6.214656182759899
EUU,NY.GDP.MKTP.CD,0.05,10.0,3.8924983654138328
EUU,NE.IMP.GNFS.ZS,10.0,10.0,4.537689799352372
EUU,NE.EXP.GNFS.ZS,10.0,10.0,5.178944113132361
EUU,NY.GDP.MKTP.KD.ZG,10.0,1.0,3.930371161970476
EUU,SH.DYN.MORT,0.05,10.0,6.471876259535171
EUU,EG.USE.PCAP.KG.OE,10.0,10.0,4.377740852057056
EUU,EN.ATM.GHGT.KT.CE,10.0,0.2,4.911261922718182
EUU,NV.AGR.TOTL.ZS,0.05,2.0,3.396500358510778
EUU,FS.AST.PRVT.GD.ZS,0.05,2.0,6.023156511485531
FRA,SP.URB.TOTL.IN.ZS,0.05,10.0,6.521582450677603
FRA,SP.RUR.TOTL.ZS,0.05,10.0,6.521471070774397
FRA,SP.DYN.LE00.MA.IN,1.0,5.0,5.77292786482359
FRA,SP.DYN.LE00.IN,2.0,10.0,5.659724166114675
FRA,NY.GDP.MKTP.CD,0.05,2.0,3.817149883814314
FRA,NE.IMP.GNFS.ZS,2.0,10.0,4.608963415828247
FRA,NE.EXP.GNFS.ZS,10.0,0.5,5.153524676915435
FRA,NY.GDP.MKTP.KD.ZG,2.0,1.0,4.850184379826927
FRA,SH.DYN.MORT,1.0,5.0,5.540929735587289
FRA,EG.USE.PCAP.KG.OE,10.0,10.0,4.744423321675082
FRA,EN.ATM.GHGT.KT.CE,10.0,10.0,4.8843912364993916
FRA,NV.AGR.TOTL.ZS,1.0,1.0,3.511712164632579
FRA,FS.AST.PRVT.GD.ZS,5.0,10.0,5.654965083378626
GBR,SP.URB.TOTL.IN.ZS,0.05,10.0,6.4901767589241635
GBR,SP.RUR.TOTL.ZS,0.05,0.5,6.498686271824363
GBR,SP.DYN.LE00.MA.IN,0.5,0.05,5.96427820280619
GBR,SP.DYN.LE00.IN,0.1,0.5,5.711896453302173
GBR,NY.GDP.MKTP.CD,0.05,0.05,4.066217403053087
GBR,NE.IMP.GNFS.ZS,10.0,10.0,4.226931452555843
GBR,NE.EXP.GNFS.ZS,5.0,10.0,4.501168910751586
GBR,NY.GDP.MKTP.KD.ZG,10.0,10.0,3.617271477505758
GBR,SH.DYN.MORT,0.05,10.0,5.744611549021886
GBR,EG.USE.PCAP.KG.OE,10.0,0.05,5.122273896143051
GBR,EN.ATM.GHGT.KT.CE,0.05,10.0,5.532507633638085
GBR,NV.AGR.TOTL.ZS,0.05,10.0,3.46764187719277
GBR,FS.AST.PRVT.GD.ZS,2.0,0.05,6.090061084870583
IDN,SP.URB.TOTL.IN.ZS,0.05,10.0,6.506882461284125
IDN,SP.RUR.TOTL.ZS,0.05,10.0,6.503950590567619
IDN,SP.DYN.LE00.MA.IN,10.0,5.0,6.509318369538916
IDN,SP.DYN.LE00.IN,10.0,0.05,6.490808406998253
IDN,NY.GDP.MKTP.CD,0.05,10.0,5.5538445803214405
IDN,NE.IMP.GNFS.ZS,10.0,10.0,3.904513827422207
IDN,NE.EXP.GNFS.ZS,10.0,10.0,4.279600327495613
IDN,NY.GDP.MKTP.KD.ZG,0.05,10.0,2.168116617382363
IDN,SH.DYN.MORT,10.0,10.0,6.329230146443705
IDN,EG.USE.PCAP.KG.OE,10.0,10.0,4.483791590559575
IDN,EN.ATM.GHGT.KT.CE,10.0,10.0,5.148837093422742
IDN,NV.AGR.TOTL.ZS,0.05,10.0,4.172991758636676
IDN,FS.AST.PRVT.GD.ZS,1.0,10.0,4.693125726010439
IND,SP.URB.TOTL.IN.ZS,0.05,10.0,6.507583626504139
IND,SP.RUR.TOTL.ZS,0.05,5.0,6.490152312370588
IND,SP.DYN.LE00.MA.IN,10.0,10.0,6.442693738315733
IND,SP.DYN.LE00.IN,10.0,10.0,6.429472573378572
IND,NY.GDP.MKTP.CD,0.05,10.0,5.568316978704241
IND,NE.IMP.GNFS.ZS,0.1,10.0,4.252470587805874
IND,NE.EXP.GNFS.ZS,10.0,10.0,3.7190821820616646
IND,NY.GDP.MKTP.KD.ZG,10.0,0.5,4.115867265256666
IND,SH.DYN.MORT,0.05,10.0,6.527415285216836
IND,EG.USE.PCAP.KG.OE,0.05,10.0,5.612339968376121
IND,EN.ATM.GHGT.KT.CE,10.0,10.0,6.074967493857121
IND,NV.AGR.TOTL.ZS,10.0,0.05,3.0056348958309282
IND,FS.AST.PRVT.GD.ZS,0.05,10.0,4.754025513355815
ITA,SP.URB.TOTL.IN.ZS,0.05,10.0,6.393034827217383
ITA,SP.RUR.TOTL.ZS,0.05,10.0,6.411332862507282
ITA,SP.DYN.LE00.MA.IN,0.05,10.0,6.183551336651052
ITA,SP.DYN.LE00.IN,0.05,10.0,6.108970954842973
ITA,NY.GDP.MKTP.CD,0.05,2.0,3.788058651064724
ITA,NE.IMP.GNFS.ZS,0.05,10.0,3.387327050235095
ITA,NE.EXP.GNFS.ZS,5.0,10.0,4.983877107899675
ITA,NY.GDP.MKTP.KD.ZG,10.0,5.0,4.176698897482908
ITA,SH.DYN.MORT,0.05,5.0,6.148279464146257
ITA,EG.USE.PCAP.KG.OE,0.05,0.05,5.239637972363153
ITA,EN.ATM.GHGT.KT.CE,0.05,0.05,5.378479045397804
