country_code,feature_code,guiding_score
FRA,NY.GDP.MKTP.CD,3.8001597040810156
FRA,NY.GDP.MKTP.KD.ZG,4.846321985679907
FRA,SH.DYN.MORT,5.417745330238998
FRA,SP.DYN.LE00.IN,5.637088142010676
FRA,SP.DYN.LE00.MA.IN,5.770919849514675
FRA,SP.RUR.TOTL.ZS,6.473072715179123
FRA,SP.URB.TOTL.IN.ZS,6.510131944089225
GBR,EG.USE.PCAP.KG.OE,5.104523416430465
GBR,EN.ATM.GHGT.KT.CE,5.46528342634036
GBR,FS.AST.PRVT.GD.ZS,6.086285529121567
GBR,NE.EXP.GNFS.ZS,4.4493359291086545
GBR,NE.IMP.GNFS.ZS,4.012591188113078
GBR,NV.AGR.TOTL.ZS,2.4305820616243166
GBR,NY.GDP.MKTP.CD,4.049757744742066
GBR,NY.GDP.MKTP.KD.ZG,3.2823805400158528
GBR,SH.DYN.MORT,5.445759356549739
GBR,SP.DYN.LE00.IN,5.691341160458084
GBR,SP.DYN.LE00.MA.IN,5.826205674110753
GBR,SP.RUR.TOTL.ZS,6.468937291734177
GBR,SP.URB.TOTL.IN.ZS,6.4364286342912855
IDN,EG.USE.PCAP.KG.OE,4.475101958773663
IDN,EN.ATM.GHGT.KT.CE,5.114622332082151
IDN,FS.AST.PRVT.GD.ZS,4.552998166304781
IDN,NE.EXP.GNFS.ZS,4.2184820108816075
IDN,NE.IMP.GNFS.ZS,3.815824253337225
IDN,NV.AGR.TOTL.ZS,3.9494101799865375
IDN,NY.GDP.MKTP.CD,5.52911751337996
IDN,NY.GDP.MKTP.KD.ZG,2.1276704420501424
IDN,SH.DYN.MORT,6.30251135576669
IDN,SP.DYN.LE00.IN,6.464439254179615
IDN,SP.DYN.LE00.MA.IN,6.474853867434488
IDN,SP.RUR.TOTL.ZS,6.474726533335986
IDN,SP.URB.TOTL.IN.ZS,6.45362097803082
IND,EG.USE.PCAP.KG.OE,5.4597967243374335
IND,EN.ATM.GHGT.KT.CE,6.035294605004389
IND,FS.AST.PRVT.GD.ZS,4.484199794252133
IND,NE.EXP.GNFS.ZS,3.0653458248851893
IND,NE.IMP.GNFS.ZS,3.9703792739336663
IND,NV.AGR.TOTL.ZS,2.9023102727636023
IND,NY.GDP.MKTP.CD,5.53771654687216
IND,NY.GDP.MKTP.KD.ZG,4.010336111066075
IND,SH.DYN.MORT,6.496417612055728
IND,SP.DYN.LE00.IN,6.399765198472538
IND,SP.DYN.LE00.MA.IN,6.4266418848501665
IND,SP.RUR.TOTL.ZS,6.4859852740850465
IND,SP.URB.TOTL.IN.ZS,6.49674908237354
ITA,EG.USE.PCAP.KG.OE,5.225552525959021
ITA,EN.ATM.GHGT.KT.CE,5.373544255589274
ITA,FS.AST.PRVT.GD.ZS,5.702835399097771
ITA,NE.EXP.GNFS.ZS,4.936905989253002
ITA,NE.IMP.GNFS.ZS,3.348748674837652
ITA,NV.AGR.TOTL.ZS,2.76924311677682
ITA,NY.GDP.MKTP.CD,3.7871939182573797
ITA,NY.GDP.MKTP.KD.ZG,3.947250413496596
ITA,SH.DYN.MORT,4.992518213883243
ITA,SP.DYN.LE00.IN,5.833869400542472
ITA,SP.DYN.LE00.MA.IN,6.044711448200723
ITA,SP.RUR.TOTL.ZS,6.333182576619973
ITA,SP.URB.TOTL.IN.ZS,6.37069458086259
JPN,EG.USE.PCAP.KG.OE,4.406417320185339
JPN,EN.ATM.GHGT.KT.CE,3.795651640294832
JPN,FS.AST.PRVT.GD.ZS,4.134332139464885
JPN,NE.EXP.GNFS.ZS,3.6065114144131423
JPN,NE.IMP.GNFS.ZS,3.710197690264421
JPN,NV.AGR.TOTL.ZS,2.945694339320285
JPN,NY.GDP.MKTP.CD,4.532124224502347
JPN,NY.GDP.MKTP.KD.ZG,3.427185367203399
JPN,SH.DYN.MORT,5.79788051845413
JPN,SP.DYN.LE00.IN,5.599060854514073
JPN,SP.DYN.LE00.MA.IN,5.814555284678519
JPN,SP.RUR.TOTL.ZS,5.334054455365756
JPN,SP.URB.TOTL.IN.ZS,5.3671033457617225
KOR,EG.USE.PCAP.KG.OE,4.836029908152475
KOR,EN.ATM.GHGT.KT.CE,5.416069293683928
KOR,FS.AST.PRVT.GD.ZS,4.944404573568953
KOR,NE.EXP.GNFS.ZS,4.7209438136546416
KOR,NE.IMP.GNFS.ZS,4.346662190048848
KOR,NV.AGR.TOTL.ZS,5.461997653843613
KOR,NY.GDP.MKTP.CD,5.283493314714
KOR,NY.GDP.MKTP.KD.ZG,2.5189899136561396
KOR,SH.DYN.MORT,6.157818124973987
KOR,SP.DYN.LE00.IN,6.274276721908468
KOR,SP.DYN.LE00.MA.IN,6.081241936782711
KOR,SP.RUR.TOTL.ZS,3.655069300228899
KOR,SP.URB.TOTL.IN.ZS,3.187309015356105
MEX,EG.USE.PCAP.KG.OE,3.521405091193099
MEX,EN.ATM.GHGT.KT.CE,4.549121222314129
MEX,FS.AST.PRVT.GD.ZS,5.350695026751581
MEX,NE.EXP.GNFS.ZS,5.512485064056075
MEX,NE.IMP.GNFS.ZS,5.410121921332777
MEX,NV.AGR.TOTL.ZS,3.1123804916209474
MEX,NY.GDP.MKTP.CD,4.763598652014238
MEX,NY.GDP.MKTP.KD.ZG,3.6510135783956352
MEX,SH.DYN.MORT,6.466041079975098
MEX,SP.DYN.LE00.IN,2.8374066230205983
MEX,SP.DYN.LE00.MA.IN,3.5831371321512266
MEX,SP.RUR.TOTL.ZS,6.4989754846871435
MEX,SP.URB.TOTL.IN.ZS,6.528793180252035
RUS,EG.USE.PCAP.KG.OE,3.5618366571889877
RUS,EN.ATM.GHGT.KT.CE,3.366008180250105
RUS,FS.AST.PRVT.GD.ZS,5.711631647517233
RUS,NE.EXP.GNFS.ZS,4.075293520723718
RUS,NE.IMP.GNFS.ZS,2.6306973621785112
RUS,NV.AGR.TOTL.ZS,4.021721648279245
RUS,NY.GDP.MKTP.CD,4.582228409224857
RUS,NY.GDP.MKTP.KD.ZG,3.2427827919823886
RUS,SH.DYN.MORT,6.346570123090614
RUS,SP.DYN.LE00.IN,6.170323768294649
RUS,SP.DYN.LE00.MA.IN,5.899772000324812
RUS,SP.RUR.TOTL.ZS,6.306679276956024
RUS,SP.URB.TOTL.IN.ZS,6.26764632029788
SAU,EG.USE.PCAP.KG.OE,5.030806453118216
SAU,EN.ATM.GHGT.KT.CE,5.998401568150848
SAU,FS.AST.PRVT.GD.ZS,3.3518286873861696
SAU,NE.EXP.GNFS.ZS,4.972483065888451
SAU,NE.IMP.GNFS.ZS,4.436438415255476
SAU,NV.AGR.TOTL.ZS,2.6094340029944596
SAU,NY.GDP.MKTP.CD,4.80940648623313
SAU,NY.GDP.MKTP.KD.ZG,3.688521040158057
SAU,SH.DYN.MORT,6.416799149679744
SAU,SP.DYN.LE00.IN,6.1412998107945835
SAU,SP.DYN.LE00.MA.IN,6.293638023763783
SAU,SP.RUR.TOTL.ZS,6.386791446099528
SAU,SP.URB.TOTL.IN.ZS,6.471981226414968
TUR,EG.USE.PCAP.KG.OE,4.92842920208127
TUR,EN.ATM.GHGT.KT.CE,5.4928806966743
TUR,FS.AST.PRVT.GD.ZS,5.549480827700091
TUR,NE.EXP.GNFS.ZS,4.375289835346167
TUR,NE.IMP.GNFS.ZS,3.819654982058733
TUR,NV.AGR.TOTL.ZS,3.896128675421034
TUR,NY.GDP.MKTP.CD,4.592778885351073
TUR,NY.GDP.MKTP.KD.ZG,3.883422462782441
TUR,SH.DYN.MORT,6.489729422389561
TUR,SP.DYN.LE00.IN,6.356543455273903
TUR,SP.DYN.LE00.MA.IN,6.369888639944854
TUR,SP.RUR.TOTL.ZS,6.502896470129572
TUR,SP.URB.TOTL.IN.ZS,6.489402844395247
USA,EG.USE.PCAP.KG.OE,4.794121035859998
USA,EN.ATM.GHGT.KT.CE,4.468201371285415
USA,FS.AST.PRVT.GD.ZS,3.1976117802976307
USA,NE.EXP.GNFS.ZS,4.509002608975977
USA,NE.IMP.GNFS.ZS,3.6923613474569463
USA,NV.AGR.TOTL.ZS,3.2076997791754818
USA,NY.GDP.MKTP.CD,6.136994195764768
USA,NY.GDP.MKTP.KD.ZG,3.259825215007852
USA,SH.DYN.MORT,5.858150937140577
USA,SP.DYN.LE00.IN,5.4019580967298815
USA,SP.DYN.LE00.MA.IN,5.287982327907654
USA,SP.RUR.TOTL.ZS,6.423517147138705
USA,SP.URB.TOTL.IN.ZS,6.395586145320587
ZAF,EG.USE.PCAP.KG.OE,3.8290777724003946
ZAF,EN.ATM.GHGT.KT.CE,4.512571061567501
ZAF,FS.AST.PRVT.GD.ZS,3.383315767741394
ZAF,NE.EXP.GNFS.ZS,3.3727809956037764
ZAF,NE.IMP.GNFS.ZS,3.7847488694670752
ZAF,NV.AGR.TOTL.ZS,4.302630316104816
ZAF,NY.GDP.MKTP.CD,4.878178964017599
ZAF,NY.GDP.MKTP.KD.ZG,4.066698983920141
ZAF,SH.DYN.MORT,6.13924603517701
ZAF,SP.DYN.LE00.IN,6.04498771814881
ZAF,SP.DYN.LE00.MA.IN,6.017165045943967
ZAF,SP.RUR.TOTL.ZS,6.513668246829411
ZAF,SP.URB.TOTL.IN.ZS,6.510707530501543
