mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,target,country
0.04027199745178223,0.00452647508993724,0.016759316126505535,0.00048247062666346605,5,sqrt,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",2.4722916566045177,4.400337224520978,2.2982824116849767,3.056970430936824,0.9525564063465551,7,SP.DYN.LE00.IN,ARG
0.06293384234110515,0.0053369188996056725,0.01651914914449056,0.0008199512770168643,5,sqrt,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",2.1320636541252274,4.758571793271981,2.2986626406905115,3.063099362695907,1.2008077497289902,5,SP.DYN.LE00.IN,ARG
0.12205942471822102,0.0049235623572552135,0.015581289927164713,0.00037785492957112684,5,sqrt,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",2.1432250284712726,4.557118876180115,2.2874679802679405,2.995937294973109,1.1054915812767818,20,SP.DYN.LE00.IN,ARG
0.033879995346069336,0.0027188106547409016,0.017531394958496094,0.0007228739919198344,5,sqrt,5,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}",2.33286918302023,4.093282164687329,2.1509821286411324,2.859044492116231,0.8758910508478276,47,SP.DYN.LE00.IN,ARG
0.06630190213521321,0.002124760518985844,0.016479094823201496,0.0011468910143547742,5,sqrt,5,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",2.2252103495410505,4.625237338654325,2.2577176442186935,3.0360551108046896,1.123799892043853,13,SP.DYN.LE00.IN,ARG
0.12155469258626302,0.005493735183051199,0.01800696055094401,0.0009523984268507959,5,sqrt,5,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",2.229482579524234,4.446856622328532,2.259478336385095,2.978605846079287,1.038282297137857,25,SP.DYN.LE00.IN,ARG
0.035296996434529625,0.002774266782437171,0.017597357432047527,0.0023951983852062413,5,sqrt,10,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}",2.0530142036228294,3.8320429634991013,2.2189484234339036,2.701335196851945,0.8023958214801586,50,SP.DYN.LE00.IN,ARG
0.06614200274149577,0.0036301280175797027,0.018488725026448567,0.00035468850358923377,5,sqrt,10,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",2.1781619423296057,4.380334657302521,2.3346433506288555,2.9643799834203275,1.003267108551673,29,SP.DYN.LE00.IN,ARG
0.11137874921162923,0.005962168311204471,0.0186917781829834,0.0035139305814465755,5,sqrt,10,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",2.1830943588054437,4.293059144565778,2.330202826823472,2.935452110064898,0.9618499087471526,36,SP.DYN.LE00.IN,ARG
0.031416734059651695,0.0005245434630953286,0.017947594324747723,0.0020011332699647355,5,log2,2,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",2.4722916566045177,4.400337224520978,2.2982824116849767,3.056970430936824,0.9525564063465551,7,SP.DYN.LE00.IN,ARG
0.06934881210327148,0.00663363837769345,0.01886431376139323,0.002442284502549461,5,log2,2,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",2.132063654125228,4.758571793271981,2.298662640690511,3.0630993626959064,1.2008077497289902,6,SP.DYN.LE00.IN,ARG
0.12715975443522134,0.003003968398019233,0.01704295476277669,0.0013596101678543858,5,log2,2,200,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",2.1432250284712726,4.557118876180116,2.2874679802679405,2.99593729497311,1.105491581276782,19,SP.DYN.LE00.IN,ARG
0.0345762570699056,0.0020883704748086967,0.01968065897623698,0.00035700905208404984,5,log2,5,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 50}",2.33286918302023,4.093282164687329,2.1509821286411324,2.859044492116231,0.8758910508478276,47,SP.DYN.LE00.IN,ARG
0.06765866279602051,0.0028783783685574662,0.015473127365112305,0.00015583908421735605,5,log2,5,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",2.225210349541051,4.625237338654325,2.2577176442186935,3.0360551108046896,1.1237998920438528,13,SP.DYN.LE00.IN,ARG
0.11726514498392741,0.0014861025779386616,0.017501274744669598,0.0013110558297678074,5,log2,5,200,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",2.229482579524235,4.446856622328532,2.259478336385095,2.978605846079287,1.0382822971378567,25,SP.DYN.LE00.IN,ARG
0.03775103886922201,0.003558884601853471,0.017768383026123047,0.001090608013995164,5,log2,10,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 50}",2.0530142036228294,3.8320429634991013,2.218948423433904,2.701335196851945,0.8023958214801585,50,SP.DYN.LE00.IN,ARG
0.05784503618876139,0.004263247097640491,0.015405575434366861,0.0012558329302997098,5,log2,10,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",2.1781619423296057,4.380334657302523,2.3346433506288555,2.964379983420328,1.0032671085516736,27,SP.DYN.LE00.IN,ARG
