country,target,rmse,std,rmse/std,r2,mase,da,guiding_score,best_guiding_cv,best_params
ARG,SP.DYN.LE00.IN,0.033995010083686765,0.5642244716758307,0.06025086076595814,0.9963698337769611,0.16014408482774692,0.9166666666666666,6.339175630452113,6.339175630452113,"{""p"": 2, ""d"": 1, ""q"": 1}"
ARG,SP.URB.TOTL.IN.ZS,0.04595283726575394,0.4859167995600427,0.09456935283439556,0.9910566375044836,0.23240183708826695,1.0,6.44960638900273,6.44960638900273,"{""p"": 2, ""d"": 0, ""q"": 2}"
ARG,NV.AGR.TOTL.ZS,1.4888451283523902,0.7506139217377614,1.9835032168142244,-2.9342850111123773,1.35472909098862,0.5,3.1074136301731485,3.1074136301731485,"{""p"": 2, ""d"": 1, ""q"": 2}"
ARG,EG.USE.PCAP.KG.OE,136.98577071218463,53.77320011501142,2.547472912513969,-5.489618239992403,5.654337422504194,0.5,2.505678769309394,2.505678769309394,"{""p"": 0, ""d"": 1, ""q"": 0}"
ARG,FS.AST.PRVT.GD.ZS,2.0856052323892267,1.3675226108930685,1.5250974395423051,-1.325922200098495,2.369862247157853,0.5833333333333334,3.315703739291147,3.315703739291147,"{""p"": 1, ""d"": 1, ""q"": 0}"
ARG,NE.IMP.GNFS.ZS,2.1461016740440395,1.621683759855517,1.3233786556728209,-0.7513310662904022,1.1130660564765429,0.5,3.6470522624751878,3.6470522624751878,"{""p"": 1, ""d"": 0, ""q"": 2}"
ARG,NY.GDP.MKTP.CD,221749728149.3824,91414691089.39188,2.4257559207035935,-4.88429178682854,3.340444486716227,0.6666666666666666,2.916051826416859,2.916051826416859,"{""p"": 2, ""d"": 1, ""q"": 2}"
ARG,NE.EXP.GNFS.ZS,2.4088685471151567,3.220817968549061,0.7479058334365671,0.4406368643115537,1.0762811990428411,0.75,5.063543117009307,5.063543117009307,"{""p"": 1, ""d"": 0, ""q"": 0}"
ARG,NY.GDP.MKTP.KD.ZG,5.607304762246734,5.051102790320738,1.1101149580625893,-0.23235522011430465,0.7058188192445879,0.5833333333333334,4.209856616341378,4.209856616341378,"{""p"": 2, ""d"": 0, ""q"": 1}"
ARG,EN.ATM.GHGT.KT.CE,8931.956305716281,12402.216207755184,0.7201903398628926,0.4813258743681712,1.2437604085619496,0.5833333333333334,4.771932613147173,4.771932613147173,"{""p"": 2, ""d"": 1, ""q"": 2}"
AUS,SP.DYN.LE00.IN,0.14547253562856638,0.4745409129575783,0.30655425413566173,0.9060244892713282,0.8939364985590944,0.9166666666666666,5.993434274211939,5.993434274211939,"{""p"": 1, ""d"": 1, ""q"": 0}"
AUS,SP.URB.TOTL.IN.ZS,0.037988190977780535,0.3952922669764237,0.09610152829032259,0.9907644962602643,0.2505371485122533,1.0,6.444819111631775,6.444819111631775,"{""p"": 1, ""d"": 1, ""q"": 0}"
AUS,NV.AGR.TOTL.ZS,0.1907310969478814,0.17964189941430247,1.0617294604974326,-0.12726944728816902,1.0616163159428356,0.5833333333333334,4.204547260107492,4.204547260107492,"{""p"": 2, ""d"": 1, ""q"": 1}"
AUS,EG.USE.PCAP.KG.OE,292.0676427956497,181.40756405500082,1.6100080739031253,-1.5921259980332514,3.9630381524151357,0.5,2.9489963490865407,2.9489963490865407,"{""p"": 1, ""d"": 0, ""q"": 0}"
AUS,FS.AST.PRVT.GD.ZS,6.730663629764995,8.1233491487421,0.8285577175772676,0.3134921086431488,1.7939664990514788,0.5833333333333334,4.45465605747799,4.45465605747799,"{""p"": 1, ""d"": 1, ""q"": 0}"
AUS,NE.IMP.GNFS.ZS,0.8301433563028108,0.7565734073457099,1.097240992404434,-0.2039377954126671,1.011804908786808,0.5833333333333334,4.155668387338853,4.155668387338853,"{""p"": 2, ""d"": 1, ""q"": 2}"
