country_code,indicator_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARG,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03899565860373,9.38030607187702,9.07241108464142,7.74853973761623,7.35909450508714,6.67493956275073,7.4858948540141,7.08818238468351,9.28226248775552,9.02244372911048,9.24742830509615,5.40298404053184,5.21279068012527,
ARG,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41749,0.41959,0.41131,0.45337,0.43884,0.42461,0.38886,0.41013,0.40376,0.42074,0.45216,0.46007,0.47055,0.58398,0.56104,0.56597,0.63491,0.61849,0.59396,0.62262,0.55815,0.54152,,,
AUS,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6195027303038,15.4149715886892,16.779809097548,16.6354708619547,18.1131442203837,17.3487245764532,18.0893618109223,19.0952520736956,19.8179269594405,20.7310511455495,17.9618545365503,18.3247962772353,21.5247036043167,
AUS,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6665,,1.51645,,1.57558,,1.75161,,1.85456,,2.18552,,2.4037,,2.37586,2.23765,,2.1787,,1.91943,,1.87372,,,
BRA,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6985508981154,12.457464113632,14.4745291363942,12.3532212514135,10.8504693408548,11.524496434568,10.6513057112185,11.7172273261872,13.6231485607882,14.7657563867164,13.8525332173213,13.4429422904394,13.2740540198108,
BRA,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04751,1.06198,1.00968,0.99939,0.96343,1.00246,0.98807,1.08138,1.12904,1.11866,1.15992,1.13966,1.12684,1.19567,1.27131,1.34264,1.26417,1.26326,,,
CAN,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9010545976871,15.3876599512868,18.2235856674189,15.8971895731305,15.0517241829529,15.9312948422912,15.7768570923425,15.0450596601283,15.1461249035726,14.4188581693629,14.7010572513539,15.6904891315608,16.5130716928602,
CAN,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61209,1.61921,1.71643,1.75587,1.86469,2.02831,1.97873,1.97478,2.00416,1.97759,1.94872,1.90857,1.8604,1.92227,1.82958,1.79132,1.7766,1.70964,1.71824,1.69718,1.73019,1.67165,1.56625,,
CHN,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1539717193176,29.3656698811727,31.9409452089419,32.1354780402591,30.485462927063,30.8505953466069,31.579128064766,29.6964510283655,30.4231080445903,30.244219815759,30.908694135621,31.4695809260897,30.7850120882828,
CHN,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56324,0.63873,0.64689,0.74963,0.89316,0.94033,1.05786,1.12037,1.21498,1.30792,1.36854,1.37369,1.44592,1.6648,1.71372,1.78034,1.91214,1.99786,2.02963,2.0656,2.11831,2.14512,2.18568,,
DEU,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4914458983827,15.1126981555007,16.8456493187343,16.9745079485164,16.4151359477326,17.3324907847915,17.3661626769812,17.260476923257,17.8540592080456,18.1725286921121,15.848958462655,15.7714620502092,16.4263270941476,15.5030584948929
DEU,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13911,2.18171,2.21195,2.34165,2.4014,2.39631,2.4239,2.46513,2.4265,2.42861,2.46388,2.44709,2.59957,2.72644,2.71367,2.79562,2.86813,2.82105,2.86691,2.91197,2.91712,3.03763,3.09415,,
EUU,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5920639448089,15.3579326045763,16.9270601542371,17.210152000727,16.4856141979093,16.2926865248299,16.829695290772,16.3174625449894,17.0106006951269,17.3128445347499,15.8020084177127,37.2461495301176,16.0513724323069,
EUU,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3110510787332,21.7311566838715,24.3619291967615,26.5952388903109,25.3221492610086,26.8698944289911,27.2947157017573,27.6202413108894,28.3385830195742,28.0563742929773,26.1354518508085,25.9698330244713,26.9924118449248,
FRA,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2228,2.14699,2.09476,2.10767,2.09346,2.13804,2.17449,2.11994,2.09461,2.05151,2.05094,2.02451,2.06117,2.21207,2.17857,2.19161,2.22707,2.23703,2.27592,2.26703,2.22238,2.20557,2.20002,,
GBR,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1029433178618,20.8290286289842,20.786944552095,23.5373267648016,23.5780380369592,23.7881220559618,23.857487128272,22.4493688187771,22.6342228748619,23.9271805205733,23.093210622979,22.7171943235347,23.4681303188086,23.0986251120483
GBR,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58684,1.5445,1.55911,1.64171,1.62649,1.61903,1.6254,1.5895,1.5423,1.5612,1.58285,1.62165,1.62307,1.6825,1.66063,1.66488,1.59382,1.63938,1.65915,1.66818,1.68211,1.69829,1.72412,,
IDN,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0932519957398,10.6569835982695,10.6964779565876,9.60656428809573,9.30597948535262,8.90308976315775,8.00294797788485,8.4554467553433,8.22259157905899,8.09789291896394,
IDN,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06769,0.04756,,,,,,,,0.08332,,,,0.0847,,,0.24535,0.2381,0.22634,,
IND,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.67817830479429,7.80974408354949,7.89152338649877,7.72953140848074,8.8832887337318,9.22650896326979,8.03962803200995,7.68152369290478,7.38955961835101,9.08106379604186,10.298864376264,
IND,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63905,0.68669,0.70379,0.72413,0.75699,0.73591,0.72567,0.71929,0.7569,0.82411,0.80473,0.80507,0.85876,0.83314,0.78849,0.75502,0.74399,0.70642,0.70159,0.6931,0.67111,0.66584,0.64998,,
ITA,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18779263433148,7.30102757586511,8.39413708173887,8.13971484291495,8.06532924910798,7.67122586212164,7.90617846025578,7.82062802795059,8.26553556286128,8.35143361112877,7.89101260345692,7.49714368840083,7.8332641550937,
