target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,4.127464039537001,5.575594450013033,0.7416953498441605,0.44677430484784864,1.131112166820592,0.6837209302325582
SP.URB.TOTL.IN.ZS,5.664213463891881,13.69442901400052,0.4158166287419817,0.8212673147826172,0.6910993232116688,0.6232558139534883
NV.AGR.TOTL.ZS,1.6601585023124614,4.162336384365831,0.40214830817269254,0.8360590168321389,0.7246619974514799,0.627906976744186
EG.USE.PCAP.KG.OE,1526.8285247441752,1992.9265004745928,0.7673071661312576,0.4079949791043158,1.053594059147181,0.4790697674418604
FS.AST.PRVT.GD.ZS,30.78894662515487,48.851664960913936,0.6325049521890416,0.5984255485738219,0.9991984454696012,0.6697674418604651
NE.IMP.GNFS.ZS,3.2364140874332947,8.85915868576389,0.3652480765617457,0.8612209867277242,0.4386141302693954,0.8186046511627907
NY.GDP.MKTP.CD,3032605627874.0933,4879431890868.638,0.6247929857728123,0.6085873936595474,0.9322467171874562,0.6372093023255814
NE.EXP.GNFS.ZS,3.685835233959525,10.619038574262866,0.3436047328490418,0.8784820279675861,0.43280091083656097,0.8093023255813954
NY.GDP.MKTP.KD.ZG,3.262787372660829,3.4133029243895465,0.9615321884335982,0.06224347522459146,0.7195183978664609,0.5534883720930233
EN.ATM.GHGT.KT.CE,1495247.0272394822,2565961.635048749,0.6038817104492095,0.628224952974636,0.8955837647830519,0.6232558139534884
