target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,1.1687706665313162,5.575594450013033,0.20059338828942064,0.9463696260388981,0.22520067924805823,0.813953488372093
SP.URB.TOTL.IN.ZS,2.87073262124333,13.69442901400052,0.21049016236411502,0.9475974455523527,0.21648980473395502,0.7767441860465116
NV.AGR.TOTL.ZS,0.49632856327865793,4.162336384365831,0.11530238601462099,0.9840342889155131,0.15299672714401094,0.7348837209302326
EG.USE.PCAP.KG.OE,408.62176769345626,1992.9265004745928,0.20276634808660415,0.9580237779831332,0.16691954889063626,0.6511627906976745
FS.AST.PRVT.GD.ZS,9.72531874382118,48.851664960913936,0.19918726881048288,0.9592006985849197,0.23359665148945016,0.7488372093023254
NE.IMP.GNFS.ZS,2.0011906004759448,8.85915868576389,0.2234527219612196,0.9465945865349188,0.24404928928580777,0.8325581395348838
NY.GDP.MKTP.CD,444062617608.90704,4879431890868.638,0.09023576781277194,0.9909313188027099,0.11418233230761268,0.758139534883721
NE.EXP.GNFS.ZS,2.737538548451137,10.619038574262866,0.2537980010891048,0.9329596792520661,0.2775929515046727,0.8325581395348836
NY.GDP.MKTP.KD.ZG,2.993403778728962,3.4133029243895465,0.8870670012980287,0.19426987283281333,0.6853396448659078,0.6976744186046512
EN.ATM.GHGT.KT.CE,463910.93124612037,2565961.635048749,0.15745475839846282,0.9541708850028066,0.11512647148710835,0.7488372093023254
