target,params,rmse,std,rmse/std,r2,mase,da,guiding_score
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",726363.1970533383,1949473.966334803,0.37259445860616974,0.8611733694159753,0.2391250340761672,0.9069767441860465,3.0665492724861827
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",707181.032202914,1949473.966334803,0.36275479663495164,0.8684089575183349,0.22707574960292742,0.8372093023255814,2.956666345208536
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",795402.0679070115,1949473.966334803,0.4080085611004302,0.8335290140687566,0.24197663580290835,0.8372093023255814,2.9049908816742462
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",592133.9938573592,1949473.966334803,0.3037403956569,0.9077417720461899,0.17528421348808193,0.9069767441860465,3.147857756749705
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",614765.2961866941,1949473.966334803,0.31534932335747545,0.9005548042579824,0.1576681404687074,0.8837209302325582,3.100063810451027
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",737649.5614084285,1949473.966334803,0.37838389952715296,0.8568256245786254,0.18269910858594246,0.8372093023255814,2.9498826305241543
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",549552.6452166659,1949473.966334803,0.2818979143639847,0.9205335658772356,0.1524220937949734,0.8837209302325582,3.131574268935937
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",607621.6945365773,1949473.966334803,0.3116849493912268,0.9028524923229884,0.14685419100632682,0.8837209302325582,3.1057651814183274
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",726533.6566488179,1949473.966334803,0.37268189737089463,0.86110820337203,0.16888761903021127,0.9302325581395349,3.1220352742936313
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",728045.4749171139,1949473.966334803,0.3734573979902429,0.8605295718863574,0.2385403437424792,0.9069767441860465,3.065772538223298
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",654723.6503466564,1949473.966334803,0.33584631631557477,0.8872072518172589,0.21218667829878654,0.8837209302325582,3.06882166855394
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",822376.0334003379,1949473.966334803,0.42184509647311846,0.8220467145815854,0.23052816170490703,0.8604651162790697,2.932944295683412
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",607567.0178699512,1949473.966334803,0.3116569025090574,0.9028699751184599,0.18631032709284545,0.9069767441860465,3.1381890909649846
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",602148.3390434405,1949473.966334803,0.3088773430381001,0.9045947869577239,0.16280819857282325,0.9069767441860465,3.1457531627942497
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",814458.2532718434,1949473.966334803,0.41778360077467597,0.8254568629237462,0.19150705825951508,0.8604651162790697,2.9459401662596845
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.6}",589035.6441233914,1949473.966334803,0.30215106961948024,0.908704731127804,0.17206486655543632,0.9069767441860465,3.149996665923273
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",603069.1884048264,1949473.966334803,0.3093497009034976,0.9043027625509166,0.15791600073452458,0.9069767441860465,3.146345231077476
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",811867.8042830182,1949473.966334803,0.4164548069392315,0.8265653937772075,0.1862739784950656,0.8837209302325582,2.9894637149310945
EN.ATM.GHGT.KT.CE,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.6}",718146.4868867727,1949473.966334803,0.36837962408749503,0.8642964525571559,0.23620845005200256,0.9069767441860465,3.071575332661854
