target,params,rmse,std,rmse/std,r2,mase,da,guiding_score
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",399.30797110093283,1646.2845949006744,0.24255099776659475,0.9411690134824293,0.17054518648803021,0.9302325581395349,3.242188948585088
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",369.82469946227195,1646.2845949006744,0.22464202156042445,0.9495359621492457,0.15083498733019737,0.9534883720930233,3.300837209623077
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",370.22815576487335,1646.2845949006744,0.22488709237251314,0.9494257956842367,0.1541723251106994,0.9302325581395349,3.259633935396723
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}",392.70993736271544,1646.2845949006744,0.2385431647596805,0.9430971585464359,0.15728071916947783,0.9302325581395349,3.2482104991820093
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",348.0556774128971,1646.2845949006744,0.21141889955782306,0.9553020489097591,0.13972657396809657,0.9302325581395349,3.272959738270614
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",359.8068890610893,1646.2845949006744,0.21855691912296463,0.9522328731034779,0.14826758421814398,0.9534883720930233,3.3060659128736107
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}",461.83936787113134,1646.2845949006744,0.2805343433946155,0.9213004821761519,0.19009262468183424,0.9534883720930233,3.246373990886416
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",440.33997669500695,1646.2845949006744,0.26747500283908937,0.9284571228562292,0.18825307509431186,0.9534883720930233,3.2580526569206825
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",392.56340892192145,1646.2845949006744,0.23845415922488544,0.943139613948353,0.16665860344063757,0.9534883720930233,3.286617358815884
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",369.99577836123177,1646.2845949006744,0.2247459397404826,0.9494892625701673,0.14998257297895085,0.9534883720930233,3.3009353878159677
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",368.44365832988444,1646.2845949006744,0.2238031379696618,0.9499121554349326,0.1511711167282115,0.9534883720930233,3.301417139620267
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",349.9713486551117,1646.2845949006744,0.21258253265513097,0.9548086668099302,0.147682550628204,0.9534883720930233,3.310729998700159
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 50}",404.9696367180102,1646.2845949006744,0.24599005419378495,0.9394888932377388,0.1635946028024054,0.9069767441860465,3.200336956260343
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",390.1520357457076,1646.2845949006744,0.23698942270017823,0.9438360135282362,0.15927979553912525,0.9534883720930233,3.2893440100655074
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",375.6660951027574,1646.2845949006744,0.22819025110626304,0.9479292093000606,0.1549350073870685,0.9534883720930233,3.2972111041301564
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 50}",463.118697264351,1646.2845949006744,0.2813114443874708,0.9208638712566349,0.1880935506700944,0.9534883720930233,3.2461184895361757
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",392.28041019283944,1646.2845949006744,0.23828225776267253,0.9432215656355233,0.16524070445576186,0.9534883720930233,3.2870542862981726
EG.USE.PCAP.KG.OE,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",433.0105244496473,1646.2845949006744,0.263022885466393,0.9308189617209327,0.18140536016935002,0.9534883720930233,3.2632865221141603
EG.USE.PCAP.KG.OE,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",301.06901820891403,1646.2845949006744,0.18287786883353452,0.9665556850909045,0.1115075542214649,0.9767441860465116,3.379981545454395
EG.USE.PCAP.KG.OE,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",289.78322270105843,1646.2845949006744,0.17602255624492555,0.969016059693002,0.10619262565991346,0.9767441860465116,3.3858567592159847
EG.USE.PCAP.KG.OE,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",262.69154520577825,1646.2845949006744,0.15956630221740445,0.974538595196664,0.09834075003965248,0.9767441860465116,3.398612162992403
EG.USE.PCAP.KG.OE,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}",301.3128730962048,1646.2845949006744,0.18302599321497262,0.9665014858076728,0.12144792380857036,0.9767441860465116,3.37782050433743
