target,params,rmse,std,rmse/std,r2,mase,da,guiding_score
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",2.9603514946321354,9.085471019415456,0.32583357409934255,0.8938324819896483,0.219286184813828,0.9218106995884774,6.143595431867587
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",2.9335463661320342,9.085471019415456,0.3228832451133363,0.8957464100250812,0.21990021807447052,0.9218106995884774,6.146284387265249
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",2.955402362321906,9.085471019415456,0.3252888436940996,0.8941871681681557,0.2189689016586213,0.9176954732510288,6.137015417068141
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",2.114742917345216,9.085471019415456,0.23276095568694852,0.9458223375076984,0.15199492772028084,0.9465020576131687,6.282148028235794
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",2.097444775755477,9.085471019415456,0.23085702120157367,0.9467050357619362,0.14956500715289325,0.9423868312757202,6.277030707469521
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",2.1188655860996413,9.085471019415456,0.23321472068665136,0.9456108940550472,0.1520967181207704,0.9423868312757202,6.274638717402089
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",1.7040343167331,9.085471019415456,0.18755596854490156,0.9648227586631839,0.11525651745584886,0.9588477366255144,6.345082638978391
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",1.6162690300379086,9.085471019415456,0.1778960085375845,0.9683530101463956,0.10998518505273473,0.9547325102880658,6.345853788609911
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",1.690444579634603,9.085471019415456,0.18606020271509968,0.965381600965616,0.11234015616015919,0.9629629629629629,6.353846430024611
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",2.125452959261084,9.085471019415456,0.233939765447387,0.9452721861424216,0.14828738415681744,0.9506172839506173,6.2891144932584355
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",2.0602734500035407,9.085471019415456,0.22676572800692232,0.9485773046014905,0.14318666664616253,0.9547325102880658,6.302937479254473
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",2.118058590735403,9.085471019415456,0.2331258980639702,0.9456523156518674,0.14616923035145307,0.9588477366255144,6.304423971386932
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",1.410242447656979,9.085471019415456,0.15521951967523986,0.9759069007117878,0.08906297103896874,0.9629629629629629,6.379661382774952
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",1.3965362420130152,9.085471019415456,0.1537109346371418,0.9763729485729763,0.0859604274374519,0.9753086419753086,6.402532882971429
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",1.4149432747071728,9.085471019415456,0.15573692015344823,0.9757460117011185,0.08457339059607094,0.9753086419753086,6.401490219095144
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.6}",1.2355403493985302,9.085471019415456,0.13599078647196244,0.9815065059947371,0.07296250920046644,0.9711934156378601,6.409402260487402
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",1.2380605658240864,9.085471019415456,0.13626817620994858,0.9814309841524144,0.07130603515234438,0.9794238683127572,6.4237091109684545
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",1.2436413512311666,9.085471019415456,0.13688243004391648,0.9812632003452724,0.07040897303939447,0.9753086419753086,6.416440704674207
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.6}",1.8993987612840928,9.085471019415456,0.20905892025026754,0.9562943678637923,0.1258821673355302,0.9506172839506173,6.3129635635865755
SP.DYN.LE00.IN,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",1.7939986378033435,9.085471019415456,0.1974579671180071,0.961010351221624,0.11702341446640238,0.9670781893004116,6.35178028020982
