rmse,std,rmse/std,r2,mase,da,target,model,country
0.2737483794548578,3.188458917139584,0.08585601589009706,0.9926287445354794,1.274390559595603,1.0,SP.DYN.LE00.IN,XGB,ARG
0.8421436118519202,3.188458917139584,0.2641224597014473,0.9302393262812574,3.658323009287231,0.8846153846153846,SP.DYN.LE00.IN,RF,ARG
0.014828698696568107,3.188458917139584,0.004650741653548154,0.999978370602072,0.05802361433342921,1.0,SP.DYN.LE00.IN,ARIMA,ARG
0.41719622919834426,4.350622946601545,0.09589344659808632,0.99080444689954,1.3537921397181576,0.9807692307692307,SP.URB.TOTL.IN.ZS,XGB,ARG
1.3343629255650797,4.350622946601545,0.30670617563110286,0.9059313218297431,4.185043643307872,0.8269230769230769,SP.URB.TOTL.IN.ZS,RF,ARG
0.022632028213725935,4.350622946601545,0.005202020145506925,0.9999729389864057,0.046793337294700914,1.0,SP.URB.TOTL.IN.ZS,ARIMA,ARG
1.4419594044563155,1.9036708541180765,0.7574625630985665,0.42625046550415013,1.1728078600644936,0.5192307692307693,NV.AGR.TOTL.ZS,XGB,ARG
1.4461645331459474,1.9036708541180765,0.7596715209551914,0.42289918024962636,1.1681446791804448,0.5192307692307693,NV.AGR.TOTL.ZS,RF,ARG
1.4889930574924197,1.9036708541180765,0.782169383048223,0.3882110562219623,1.224759124646212,0.4807692307692308,NV.AGR.TOTL.ZS,ARIMA,ARG
50.90281013709474,228.34943627144878,0.22291629429110735,0.9503083257395204,1.0456284040055828,0.5576923076923077,EG.USE.PCAP.KG.OE,XGB,ARG
58.936265812527395,228.34943627144878,0.2580968307820446,0.9333860259402647,1.3008582933451505,0.5,EG.USE.PCAP.KG.OE,RF,ARG
53.41801879372596,228.34943627144878,0.23393102985472525,0.9452762732711076,1.1487145902372287,0.5192307692307693,EG.USE.PCAP.KG.OE,ARIMA,ARG
5.877624676420997,6.069795438672287,0.9683398288800775,0.062317975804502046,1.4867439088167909,0.5384615384615384,FS.AST.PRVT.GD.ZS,XGB,ARG
5.34404797407969,6.069795438672287,0.8804329615511148,0.2248378002143333,1.381008348260228,0.5192307692307693,FS.AST.PRVT.GD.ZS,RF,ARG
5.598692274650623,6.069795438672287,0.9223856604754519,0.14920469334926423,1.1495966404847182,0.6153846153846154,FS.AST.PRVT.GD.ZS,ARIMA,ARG
1.4918382629758051,4.354283026412481,0.34261398579892943,0.882615656734971,1.0531226597599612,0.4230769230769231,NE.IMP.GNFS.ZS,XGB,ARG
1.6539834022604347,4.354283026412481,0.37985206570808544,0.8557124081773003,1.0711546095451177,0.4807692307692308,NE.IMP.GNFS.ZS,RF,ARG
1.5597081333254088,4.354283026412481,0.3582009079025029,0.8716921095778226,1.11468735044673,0.46153846153846156,NE.IMP.GNFS.ZS,ARIMA,ARG
52428986079.8253,178118931685.97516,0.2943481952398971,0.9133591399590155,1.10647120200435,0.5576923076923077,NY.GDP.MKTP.CD,XGB,ARG
60769974355.920135,178118931685.97516,0.3411763914183923,0.883598669938724,1.3493903359537938,0.6153846153846154,NY.GDP.MKTP.CD,RF,ARG
50679990795.1972,178118931685.97516,0.284528939824018,0.9190432824026203,1.1312145284030797,0.6153846153846154,NY.GDP.MKTP.CD,ARIMA,ARG
2.95552823218062,5.934111535487522,0.4980574117129072,0.7519388146378396,1.0035095873700475,0.6153846153846154,NE.EXP.GNFS.ZS,XGB,ARG
3.3213646121015876,5.934111535487522,0.5597071427186645,0.6867279143897085,1.1349244464367276,0.5961538461538461,NE.EXP.GNFS.ZS,RF,ARG
3.090638180578912,5.934111535487522,0.5208257650864997,0.7287405224220622,1.0183909197954635,0.5961538461538461,NE.EXP.GNFS.ZS,ARIMA,ARG
5.425823099218893,5.168606895563544,1.049765093158106,-0.10200675081324695,0.8119866706346328,0.38461538461538464,NY.GDP.MKTP.KD.ZG,XGB,ARG
5.203379940904905,5.168606895563544,1.0067277403842045,-0.013500743259086567,0.7896237391514026,0.3076923076923077,NY.GDP.MKTP.KD.ZG,RF,ARG
5.677948913119415,5.168606895563544,1.0985453194347328,-0.20680181885195914,0.8848055623508876,0.46153846153846156,NY.GDP.MKTP.KD.ZG,ARIMA,ARG
10324.199975946613,48065.84737606696,0.21479284231005275,0.9538640348923688,1.2164458009246912,0.6538461538461539,EN.ATM.GHGT.KT.CE,XGB,ARG
12857.718101714445,48065.84737606696,0.2675021622133429,0.9284425932111864,1.6251086647934676,0.6538461538461539,EN.ATM.GHGT.KT.CE,RF,ARG
8931.0636860768,48065.84737606696,0.18580893032427373,0.9654750414117492,1.1065292836524259,0.6153846153846154,EN.ATM.GHGT.KT.CE,ARIMA,ARG
0.9495052755401324,3.832387154573188,0.24775818236607117,0.9386158830706606,3.16686238720745,0.8269230769230769,SP.DYN.LE00.IN,XGB,AUS
0.7610644955717017,3.832387154573188,0.19858758128429782,0.9605629725596524,3.0181624130423113,0.9615384615384616,SP.DYN.LE00.IN,RF,AUS
0.14074120742731028,3.832387154573188,0.036724162186840596,0.9986513359116747,0.4115662758503654,0.9038461538461539,SP.DYN.LE00.IN,ARIMA,AUS
0.22262706110994324,0.6303657066912066,0.3531712762080825,0.8752700496615543,1.5937880907236768,0.8461538461538461,SP.URB.TOTL.IN.ZS,XGB,AUS
0.32821924383924594,0.6303657066912066,0.5206806784621434,0.7288916310762021,2.6213885780454014,0.8269230769230769,SP.URB.TOTL.IN.ZS,RF,AUS
0.05071596414270034,0.6303657066912066,0.0804548274190053,0.9935270207449781,0.24403631383862806,0.9423076923076923,SP.URB.TOTL.IN.ZS,ARIMA,AUS
