mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.04121041297912598,0.0008035841671985713,0.0015197277069091796,0.00012683782362108277,5,sqrt,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.8755465748413127,0.9214149214908331,0.8127544547647381,0.8208122244181502,0.8189831947818883,0.8499022740593846,0.04231753734586634,39,0.8945583011613973,0.8941770954049235,0.906792707695377,0.9035085725966325,0.9017568068812573,0.9001586967479176,0.004998594018384009
0.08057174682617188,0.001996006236306659,0.0023407936096191406,0.00014958564816765013,5,sqrt,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8752135501175616,0.9178760594172377,0.8105207423988244,0.826731444336433,0.8233303623726606,0.8507344317285435,0.0401285251069755,37,0.8956899966520563,0.8955525111479719,0.9049909445338021,0.9031066871271701,0.9026969325452845,0.900407414401257,0.0039839887267880516
0.16307826042175294,0.0011153297110107533,0.004225349426269532,0.00018030943783679752,5,sqrt,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.8695381318478547,0.9170172130938075,0.8017270274316499,0.8244827434568,0.8243916104161578,0.847431345249254,0.041175855522323515,43,0.8941899208281743,0.8927512522607842,0.9034474143702889,0.9055066483203471,0.9021030908969899,0.8995996653353169,0.005140639209989197
0.040332794189453125,0.000529722023924999,0.0014190196990966797,6.395760473163833e-05,5,sqrt,5,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}",0.85752061125873,0.9153637112238071,0.8061431274756627,0.8175980702995926,0.815958857865765,0.8425168756247114,0.040450212015027305,51,0.8857023307291388,0.8872921503599495,0.902081835534861,0.8996079969106865,0.8975398527221433,0.8944448332513557,0.00666563472254274
0.0787919044494629,0.0007975490472198835,0.0022460460662841798,9.180305453341015e-05,5,sqrt,5,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8672492305378872,0.9117042115870406,0.80046696897916,0.8214411710950492,0.8223893829717017,0.8446501930341679,0.03998329039007726,49,0.8877959022900115,0.8900533325506446,0.9005224697321703,0.898561790139943,0.9005897573650302,0.8955046504155598,0.005468538942050103
0.15690398216247559,0.0010414577110075568,0.0038880348205566407,0.00013033012441120292,5,sqrt,5,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.8700982691714868,0.9167944981646438,0.7993462414520571,0.8215985188750672,0.8236385286287695,0.8462952112584048,0.042105089166599094,47,0.891439746272874,0.8936190342376056,0.9014762511823188,0.9000695613726363,0.9017779794981571,0.8976765145127183,0.004297606573880607
0.04016094207763672,0.0004206932790058238,0.0014396190643310546,0.0001348552810551106,5,sqrt,10,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}",0.8607780346490534,0.9220244927392551,0.7980590996992429,0.8157821489098771,0.8132236163761549,0.8419734784747167,0.04517253412415837,53,0.8851030211931515,0.889813525613886,0.8956701067963269,0.9009867066770617,0.8971125212372992,0.8937371763035451,0.0056147757489161095
0.079168701171875,0.0010738624515598478,0.002187967300415039,8.754761390381235e-05,5,sqrt,10,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8633920074942649,0.9189642726043381,0.8069490495356608,0.8274731977042068,0.8212800602344681,0.8476117175145876,0.040230767808019256,41,0.8874954001093379,0.8914994133215498,0.8987124900930039,0.8999631492070629,0.89856888504006,0.8952478675542028,0.00488709132637239
0.1568230152130127,0.0011865007327115254,0.003965187072753906,0.00010578150616798407,5,sqrt,10,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.8671622955546923,0.9191096905143697,0.8009162355724424,0.8198808842932416,0.8254385707730398,0.8465015353415571,0.0422590541869426,45,0.8903549917984159,0.8913241269969778,0.8979530476547021,0.9005176594980743,0.8979650204009259,0.8956229692698191,0.004027507733995614
0.040137195587158205,0.0007302769499975336,0.0013587474822998047,0.00010142663744725163,5,log2,2,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",0.8755465748413127,0.9214149214908331,0.8127544547647381,0.8208122244181502,0.8189831947818883,0.8499022740593846,0.04231753734586634,39,0.8945583011613973,0.8941770954049235,0.906792707695377,0.9035085725966325,0.9017568068812573,0.9001586967479176,0.004998594018384009
0.0814096450805664,0.0025705518677315107,0.002423095703125,0.00022457883080672698,5,log2,2,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8752135501175616,0.9178760594172377,0.8105207423988244,0.826731444336433,0.8233303623726606,0.8507344317285435,0.0401285251069755,37,0.8956899966520563,0.8955525111479719,0.9049909445338021,0.9031066871271701,0.9026969325452845,0.900407414401257,0.0039839887267880516
