mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.015000391006469726,0.002500551904393515,0.0010870933532714845,0.0003238179900934299,0.6,0.05,3,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",0.9027752844756916,0.8982364986846929,0.8976963486114362,0.8706139864530744,0.9178027460911994,0.897424972863219,0.015254118704940967,162,0.9205311883164058,0.9174546900534841,0.9213329786601698,0.9253948759056306,0.920498772983156,0.9210425011837693,0.0025478231019780565
0.01751432418823242,0.0017739335898801518,0.0009656429290771484,4.818731452027532e-05,0.6,0.05,3,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.9049184215523755,0.8979151599126465,0.8963430671011763,0.8764264984845276,0.9159053685908557,0.8983017031283165,0.01293197780211761,161,0.9219777390097901,0.9196741854307121,0.9208003033320491,0.9261610879433784,0.9203372325558553,0.9217901096543569,0.0023112057336963764
0.017873239517211915,0.0024511346129829246,0.0009369850158691406,0.00010336483448967291,0.6,0.05,3,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.9041357765578366,0.8982584722015009,0.9017127387393384,0.8823800231373881,0.9140620843243534,0.9001098189920835,0.010307439448549985,160,0.9230314879449092,0.9215691349549726,0.9260208795628175,0.9306289194571711,0.9222908714540753,0.9247082586747892,0.0033252553730350235
0.03475656509399414,0.014330154873924614,0.0009509086608886719,0.0001376141298956677,0.6,0.05,3,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",0.9509098680030693,0.9485596031519742,0.9458566401911596,0.9234973373838089,0.9546622151080906,0.9446971327676204,0.010987223529253118,148,0.9663716979123986,0.9634120469305452,0.9666561769913733,0.9670561255130907,0.9654986394562475,0.9657989373607311,0.0012985269532415516
0.022917413711547853,0.0004870832076902032,0.0008852005004882813,0.00014140351667354942,0.6,0.05,3,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9508304218466544,0.94621632895025,0.9418312496416156,0.926976014420991,0.9536125302811127,0.9438933090281247,0.009364082051308398,151,0.966611579247537,0.9641926057473375,0.9660013202360795,0.9686295309344444,0.9659530457268686,0.9662776163784533,0.0014263231243050215
0.02345418930053711,0.0015078136309364266,0.0007878780364990234,5.1049777285319034e-05,0.6,0.05,3,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9508680531756362,0.9462877019465938,0.9421679784903634,0.9297106399182472,0.9519789558002024,0.9442026658662085,0.00804244014429116,150,0.9677052255963273,0.9639477101035069,0.9679668209463903,0.9699325723461037,0.9666376713958214,0.9672380000776298,0.0019594183776880064
0.04491181373596191,0.0013037629957880293,0.0010144233703613282,9.084885443396374e-05,0.6,0.05,3,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",0.9705772922457087,0.9676067739575733,0.9693312226248053,0.9519764380325704,0.9726676552471917,0.9664318764215698,0.007413712990959075,115,0.9852543273756834,0.9848153397104761,0.9862136582493382,0.9860252552025384,0.9853196380037657,0.9855256437083604,0.0005183740591165583
0.054726362228393555,0.023193284917111152,0.0012948989868164062,0.0004307902276101778,0.6,0.05,3,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9726182925693964,0.9669802971961946,0.9671018564980728,0.95327506091351,0.9715698563386681,0.9663090727031683,0.00690574560172039,116,0.9865505817309527,0.984895149729413,0.9864922503019488,0.9873020583369405,0.9854913070602044,0.9861462694318919,0.0008500935723681096
0.04341001510620117,0.003449202417429062,0.0009176254272460938,9.228855219369033e-05,0.6,0.05,3,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.971165806325339,0.966407539155856,0.9651978717858614,0.9534677984178291,0.96910175887731,0.9650681549124391,0.006161661482416339,120,0.9861131913754562,0.9838534224830873,0.9852515763501342,0.986607481949609,0.9849977972049423,0.9853646938726458,0.0009524831407982557
0.021042919158935545,0.0005644336890395843,0.0009543895721435547,0.00028342227578946697,0.6,0.05,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",0.9537566196564712,0.9449639067845645,0.9569787542438996,0.9275413422245451,0.9586761132843789,0.9483833472387719,0.011443564627869498,143,0.9709065772874125,0.9691004222780845,0.9717571729596786,0.9718728975784192,0.9708408713316486,0.9708955882870486,0.0009922900082322387
