mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.04097990989685059,0.0007885574089768689,0.0014842033386230468,9.003354811441705e-05,5,sqrt,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.8780772409605804,0.8961554708417235,0.8552481813091992,0.8937937913280085,0.9083995727892874,0.8863348514457599,0.018294816033834146,53,0.9227351545829193,0.9177194784297049,0.9234318184444261,0.9199709814914747,0.9262485364328819,0.9220211938762816,0.0029352394539407206
0.08032922744750977,0.0005618820603381645,0.0024973869323730467,9.147663231766709e-05,5,sqrt,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8784292425385,0.9002692261715294,0.8589803234474732,0.8981712075410478,0.9103062203231029,0.8892312440043307,0.018317838602865517,49,0.9222275434314943,0.9189611734941937,0.9268186142310956,0.9247741831926158,0.9275261885694945,0.9240615405837789,0.0031461211118675413
0.16492538452148436,0.0030177462751871465,0.004381608963012695,0.00016756192078157717,5,sqrt,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.8860522388796311,0.8988916704405397,0.8618441431070897,0.8977375811776261,0.9098912707125884,0.8908833808634951,0.016364778658769532,39,0.92536094678413,0.9198470121380394,0.9280642435966248,0.9261307483641757,0.9278487138490629,0.9254503329464064,0.0029817082000013085
0.0420224666595459,0.00037091687983872276,0.0015706539154052735,9.717871091999076e-05,5,sqrt,5,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}",0.8805250679222926,0.9060474493461532,0.8584748570189852,0.894762474115416,0.9075945905817017,0.8894808877969098,0.018286787571406175,47,0.9225096020075925,0.9177046708696374,0.9226160650993298,0.9214995717174845,0.9229800529003529,0.9214619925188796,0.0019417906506943169
0.08105192184448243,0.0009329767079929491,0.002451038360595703,0.0001352642210913762,5,sqrt,5,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8810191230320771,0.9040320531514058,0.862509986801874,0.8970437595758282,0.9089590558172428,0.8907127956756856,0.016969239526018882,41,0.922935770217384,0.9190325166119871,0.9264333246687727,0.925107581823156,0.9228212497488781,0.9232660886140357,0.0025160526712019677
0.176901912689209,0.01593638836660978,0.004485130310058594,0.00016414103653189556,5,sqrt,5,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.8831136289995533,0.9030025048540047,0.8627918256849627,0.8978784067529165,0.9112311951881009,0.8916035122959076,0.017068969923552328,37,0.9248178888534757,0.9200238183667016,0.926917124666585,0.9269967867547947,0.9239789321816463,0.9245469101646406,0.0025484975944177527
0.04263758659362793,0.00036232097371153107,0.0016521930694580079,0.00018395907888947753,5,sqrt,10,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}",0.8813519519871371,0.9001492203617792,0.8634017433234209,0.891924720697591,0.9030302627812173,0.8879715798302291,0.014409597652978149,51,0.9216586143528106,0.91700096756124,0.924471163035397,0.9205654971503989,0.9227044707155382,0.9212801425630769,0.002497063074833756
0.08253884315490723,0.0015939811063988884,0.002480602264404297,0.00015157074469577527,5,sqrt,10,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8836239273306299,0.9011606515295332,0.8607199088173232,0.8987463292419036,0.9079218021400608,0.8904345238118901,0.016848046755362448,45,0.9238770680784406,0.9196722008302922,0.9256447913929272,0.9249246056652122,0.9236104023788982,0.9235458136691541,0.002070050843036631
0.16167774200439453,0.0012723805949956559,0.004290914535522461,0.00014843049989192903,5,sqrt,10,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.8844850897108282,0.9004161358953641,0.8589516030532712,0.8984963484193329,0.9099212274142725,0.8904540808986138,0.01772526652150187,43,0.9243839213358145,0.9197796281197047,0.9260662733306555,0.924612053179435,0.923709870034092,0.9237103491999402,0.002110341983601575
0.04101729393005371,0.00023425670653844837,0.0015082836151123046,4.133009277852934e-05,5,log2,2,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",0.8780772409605804,0.8961554708417235,0.8552481813091992,0.8937937913280085,0.9083995727892874,0.8863348514457599,0.018294816033834146,53,0.9227351545829193,0.9177194784297049,0.9234318184444261,0.9199709814914747,0.9262485364328819,0.9220211938762816,0.0029352394539407206
0.07995214462280273,0.0007546546137941816,0.0024498939514160157,9.1990353821074e-05,5,log2,2,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8784292425385,0.9002692261715294,0.8589803234474732,0.8981712075410478,0.9103062203231029,0.8892312440043307,0.018317838602865517,49,0.9222275434314943,0.9189611734941937,0.9268186142310956,0.9247741831926158,0.9275261885694945,0.9240615405837789,0.0031461211118675413
