mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.017992544174194335,0.002370977241103053,0.0009842395782470703,7.542086768912521e-05,0.6,0.05,3,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",0.8437520219733793,0.8872484174141546,0.7799239721829998,0.7891657294701793,0.7887202444637382,0.81776207710089,0.04146499740533915,161,0.85711891884874,0.8558107383021275,0.8707510582107304,0.8644646500560851,0.8679339433611005,0.8632158617557566,0.0058755002858255235
0.018464088439941406,0.002672118891920592,0.0012801647186279296,0.0004533102195708297,0.6,0.05,3,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.8476131035321658,0.8869081441181431,0.7821396385536423,0.7804722274850089,0.7871543974835645,0.8168575022345049,0.04304530670931504,162,0.8630209835856374,0.8577430898609305,0.8731918241894916,0.8642877469762762,0.8714081619772,0.8659303613179071,0.005673256871902263
0.024988842010498048,0.007173638642002834,0.0008689403533935547,9.716633286578711e-05,0.6,0.05,3,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.8494537150522432,0.8874384732883182,0.7831821709901058,0.7942241343761828,0.7836953789000902,0.8195987745213881,0.04183930543228796,160,0.8714614072886138,0.8664296401763245,0.8784658482192876,0.8674203055865694,0.8730630598694618,0.8713680522280514,0.004318173019760914
0.04596080780029297,0.007985058723293404,0.001128816604614258,7.053525720892336e-05,0.6,0.05,3,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",0.9074786054997455,0.9275536715153787,0.860535404822946,0.8638610720762314,0.867214009755523,0.8853285527339649,0.027119273847494553,133,0.9336294535897576,0.9336007578569003,0.9434785198847763,0.9385218862429355,0.9395031482952853,0.937746753173931,0.0037597962114776983
0.032565879821777347,0.0007921920089033026,0.00100860595703125,0.0001599292635589243,0.6,0.05,3,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9129293462791808,0.9291792723956633,0.8602830332909519,0.8629478480239903,0.8633676939170011,0.8857414387813576,0.029306280392427417,131,0.9377037954000292,0.9360627830458145,0.9449248610545337,0.9385600072561741,0.9415240489069181,0.939755099132694,0.0031344827743865007
0.030522489547729494,0.0024800125925321407,0.0011101722717285155,8.940659840825646e-05,0.6,0.05,3,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9161436290006878,0.9286731967488951,0.857131215251446,0.8688476455483265,0.8559602090605447,0.88535117912198,0.030846504771927137,132,0.9395104297298341,0.9396065670612376,0.9453983652662871,0.9380682290993895,0.9433150325679611,0.9411797247449419,0.002731272357160152
0.10545716285705567,0.016324310303893228,0.0014872550964355469,0.0004360044980187415,0.6,0.05,3,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",0.9392261950015056,0.9348756004769868,0.8897243253768422,0.894445727052906,0.895877074440804,0.910829784469809,0.021550028662219795,96,0.9648249693301155,0.9644080789359221,0.9700638631816086,0.9680808007057911,0.968261334630502,0.9671278093567878,0.0021685704909131047
0.07180194854736328,0.02886561981833991,0.0010879039764404297,8.440125459317161e-05,0.6,0.05,3,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9408492973112061,0.9405161941326424,0.8936591123944531,0.8910483707997225,0.8932596395271878,0.9118665228330423,0.023545386967924683,93,0.9672545636348545,0.9668342921314514,0.9721576657646934,0.9690272875427252,0.9712149100630145,0.9692977438273477,0.002105754307690937
0.05717601776123047,0.010323802825972254,0.0011170387268066406,6.67310390975035e-05,0.6,0.05,3,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9388839884251379,0.9383224571220896,0.8846380723405001,0.8934684415100997,0.8834738931504413,0.9077573705096537,0.02542224842505538,107,0.9661988990128859,0.9659562233543239,0.9699289025492386,0.9663869949052618,0.9694587094672168,0.9675859458577853,0.001732862797201646
0.03459224700927734,0.012011969293035418,0.001052522659301758,3.9460284421058955e-05,0.6,0.05,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",0.8879374823112006,0.9238103262729331,0.8432438115063141,0.8334565464636399,0.8383620990733962,0.8653620531254969,0.03510562952953825,153,0.9229282869551572,0.9216023414441709,0.9275709031530847,0.9294539491461862,0.9232309974202331,0.9249572956237664,0.0030134211929300127
0.04413890838623047,0.016881542249681036,0.0012713909149169923,0.00028379453703536613,0.6,0.05,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8912419909001773,0.9215736604890163,0.8349998477494451,0.8356182899206621,0.843436460184777,0.8653740498488156,0.034976568878864966,152,0.9327270730507597,0.926776848032121,0.9339262969331001,0.9338092653717723,0.9298194309531063,0.9314117828681721,0.0027502326140912293
0.04313364028930664,0.02264004563126976,0.0016780376434326171,0.0013330494799712786,0.6,0.05,5,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.8954612555137411,0.9260048181860934,0.8481728454033557,0.8319480752931474,0.8447352591696828,0.8692644507132041,0.03562243902242446,151,0.9347930402613084,0.9299082879074925,0.9389988008416914,0.9340186907952089,0.9336018601662055,0.9342641359943814,0.002904102481468706
0.04828333854675293,0.007896848493800462,0.0012185096740722657,0.00016891524074464596,0.6,0.05,5,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",0.936995953813739,0.9542025858174696,0.908272427804666,0.8867163717942216,0.8990970652552832,0.917056880897076,0.024890311807807024,85,0.9772885703281553,0.9771740312516487,0.9805803998458612,0.9799753280741389,0.977548758940869,0.9785134176881346,0.0014583806634232387
0.06014218330383301,0.009704369809678476,0.0011991024017333984,0.0002337959671797256,0.6,0.05,5,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.938711616169357,0.9538552632603522,0.8974348495825992,0.891228111694467,0.9074037136137898,0.9177267108641131,0.024356264957377194,82,0.9815482827756992,0.9795062234650824,0.9827399949142086,0.9833080579765364,0.9814142143100617,0.9817033546883177,0.0013103229120863024
0.06385369300842285,0.013333416600717818,0.0011748790740966797,0.00012173974831931455,0.6,0.05,5,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.9422143218546839,0.9575137853908452,0.9044879051453845,0.8848371556729983,0.9075949175387161,0.9193296171205254,0.026568590111645803,78,0.9825053261692867,0.9810055982999648,0.9842218623232739,0.9837658975492818,0.9834380210541789,0.9829873410791972,0.001139556767822697
0.10677356719970703,0.01111899067206929,0.0012800216674804688,0.00010453347251591515,0.6,0.05,5,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.6}",0.952171000009584,0.9601374349735194,0.9300237420524058,0.9027598384862534,0.9220732776163875,0.93343305862763,0.02071592943235364,7,0.9924923099417507,0.9923932223550123,0.993609682194011,0.9934849399551009,0.9924820544309246,0.99289244177536,0.0005372580753298214
