mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.042539453506469725,0.0010746826516717769,0.0016424179077148438,7.052523126702755e-05,5,sqrt,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.8696074389206501,0.8301958232508799,0.8429091982585744,0.8520026673076602,0.8777312172876527,0.8544892690050835,0.01731588839576982,37,0.8861743830085418,0.8958207934550073,0.878363511739739,0.8812257689547294,0.8804945187020876,0.884415795172021,0.00625059082293851
0.08179922103881836,0.0005118740486670133,0.0025123119354248046,7.52088148361232e-05,5,sqrt,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8656947851290573,0.8226370559832497,0.8395879643968431,0.8478492578605534,0.8720289313264944,0.8495595989392395,0.017845992337657778,41,0.8835015693504183,0.8954679478246452,0.878055401067749,0.8788452794673508,0.879611049566968,0.8830962494554264,0.006462982613713073
0.16367835998535157,0.000557288695461932,0.0042612552642822266,0.0002408531344016101,5,sqrt,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.8656130529326159,0.8263665240266855,0.8367503373658631,0.8457788001543272,0.872313398932736,0.8493644226824456,0.017271645409815035,43,0.8850635237458082,0.8960436191811305,0.8776446507981996,0.879588275720876,0.8798009243215684,0.8836281987535166,0.006677943935802279
0.041477203369140625,0.00041116825120775886,0.001587820053100586,8.641618138038044e-05,5,sqrt,5,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}",0.8667236212120404,0.8210389907532072,0.8401727355653716,0.8526983770510412,0.8756498424845361,0.8512567134132393,0.019350936434605746,39,0.8865464293242878,0.8926830844884002,0.8771697840839541,0.882546376901185,0.8811141502949213,0.8840119650185496,0.005272049711857095
0.08068199157714843,0.0014780760947826683,0.0025180816650390626,0.00014408852815939944,5,sqrt,5,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8670304260986562,0.8185414044123067,0.8353466072293009,0.8468359902846974,0.8725924852732165,0.8480693826596356,0.01998096844934529,47,0.885534748258323,0.8926763630130434,0.8766651201459144,0.8775440126596566,0.880504071614098,0.882584863138207,0.005921543987076484
0.1634979724884033,0.001017119449354654,0.004448461532592774,0.00012225954096516264,5,sqrt,5,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.8677456713110336,0.8227472494234847,0.8324378382840926,0.8434712692207442,0.871436324095574,0.8475676704669859,0.0191760786916059,49,0.8857796955021346,0.8939107556872428,0.8758202843074072,0.8770814272250456,0.8797125753854631,0.8824609476214587,0.006673880297583866
0.04161877632141113,0.0007863211355300518,0.0015952110290527344,0.00010476009271155235,5,sqrt,10,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}",0.8660213931778284,0.8199890126182059,0.8451914529804943,0.8336357056520562,0.8761104838664556,0.848189609659008,0.02056028433042875,45,0.8871520257708095,0.8931723873433812,0.8796643708746696,0.8751910699439271,0.8776043657894013,0.8825568439444378,0.006647608963143293
0.10492157936096191,0.021256449585289362,0.0042136192321777345,0.003122559974699371,5,sqrt,10,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.865373556677711,0.8170904333419279,0.838063067312644,0.8337873583861592,0.8703416928254573,0.8449312217087799,0.020050176222685578,53,0.8843458628968605,0.8929841058851915,0.8773632394435539,0.8732110357018451,0.8773278683480944,0.881046422455109,0.00695961723404611
0.16516399383544922,0.00506486451992178,0.004636812210083008,0.00026861356603209154,5,sqrt,10,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.8670568633613509,0.8215651316034354,0.8371431056426271,0.8379291304568202,0.868984497902072,0.846535745793261,0.01849805301674798,51,0.8850303957545768,0.8943873253183369,0.877783619306505,0.875411020597868,0.8760971856082898,0.8817419093171154,0.0071879316416600105
0.04113039970397949,0.0004572158654983317,0.001579141616821289,7.304385770753486e-05,5,log2,2,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",0.8696074389206501,0.8301958232508799,0.8429091982585744,0.8520026673076602,0.8777312172876527,0.8544892690050835,0.01731588839576982,37,0.8861743830085418,0.8958207934550073,0.878363511739739,0.8812257689547294,0.8804945187020876,0.884415795172021,0.00625059082293851
0.0817863941192627,0.0016214351894676007,0.0024964332580566405,6.542084167283785e-05,5,log2,2,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8656947851290573,0.8226370559832497,0.8395879643968431,0.8478492578605534,0.8720289313264944,0.8495595989392395,0.017845992337657778,41,0.8835015693504183,0.8954679478246452,0.878055401067749,0.8788452794673508,0.879611049566968,0.8830962494554264,0.006462982613713073
