mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.024340105056762696,0.0035534112681930314,0.0010668277740478516,8.722557320322853e-05,0.6,0.05,3,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",0.9234402969772514,0.9480478336687104,0.914050545280049,0.9282387890123469,0.9592770097381311,0.9346108949352978,0.016595677223733542,160,0.9547344747726337,0.9536038459605441,0.9557797234444844,0.9526175794611037,0.950297392551414,0.9534066032380359,0.0018827425013846115
0.024605178833007814,0.0063496946945533934,0.0009357929229736328,0.00014593460808065797,0.6,0.05,3,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.9265753987226221,0.9466729518856565,0.9124290501196584,0.930503695759601,0.9590409681955867,0.9350444129366249,0.016216377721102123,159,0.9550448544623038,0.9533471686935098,0.956078698067366,0.9548541218104163,0.9514542380329865,0.9541558162133164,0.0016079757346092723
0.018243980407714844,0.0025775596217468004,0.0008646011352539063,0.00011677805283960288,0.6,0.05,3,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.9241678240306629,0.9473626667326709,0.9074318500795803,0.9305233203024937,0.9592818813778797,0.9337535085046575,0.018066854591390232,162,0.9561002159136965,0.9538568996292633,0.9564060839470373,0.9559469119058862,0.9514289470764004,0.9547478116944568,0.001888136224632117
0.052877616882324216,0.015200757457188923,0.001293182373046875,0.00023663454148319284,0.6,0.05,3,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",0.9503238637215291,0.9704421921341404,0.9520466261285279,0.9596622713388929,0.9785244530441806,0.9621998812734542,0.010816609255523395,136,0.9806832436351227,0.9797015015829034,0.9812238779318779,0.9796989719202266,0.9787018512249462,0.9800018892590154,0.0008751674882638413
0.03606705665588379,0.0038748242052591307,0.0009693145751953125,0.00023311264128768607,0.6,0.05,3,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9527808914487524,0.972517579298264,0.948150348573852,0.9602653443376645,0.9787293366440102,0.9624887000605087,0.011568144859661358,134,0.9811819341095305,0.9803215397374669,0.9818139310607071,0.9814884229162337,0.9792853727991451,0.9808182401246167,0.0009131497403107515
0.04833588600158691,0.0072968019238679425,0.0011302471160888673,0.0001297832668631914,0.6,0.05,3,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9487527103881782,0.9709168544370472,0.9484350936221865,0.9603957400085034,0.9776313056995054,0.9612263408310842,0.011686969543840572,141,0.9817599534302758,0.9799991241236184,0.9823834116302416,0.9829247798751642,0.9793068582007388,0.9812748254520077,0.0013919030892762896
0.09203777313232422,0.023926524876046556,0.0012250900268554687,0.00022325868127152975,0.6,0.05,3,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",0.9598042101758972,0.9804260380205916,0.9672638930198033,0.9713460756891534,0.9847218766740994,0.972712418715909,0.008965513665902633,104,0.9898295835296811,0.9897111940857602,0.990512569582768,0.9902156816960395,0.9900081373055245,0.9900554332399547,0.0002850960525588134
0.07150487899780274,0.009884711928652286,0.0011907577514648437,0.000243909062897934,0.6,0.05,3,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9616970590002669,0.9821351120308244,0.9637878984166074,0.9715512873902771,0.9845016265975078,0.9727345966870967,0.009274735043800159,103,0.9906649281892638,0.9899296505086721,0.9913329398382779,0.9908686364466078,0.9899368563566855,0.9905466022679013,0.0005456103664644915
0.07856879234313965,0.01469629458161791,0.001146221160888672,0.00035294862214458635,0.6,0.05,3,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9591193241041753,0.9814462870234919,0.9643695861172717,0.9715271289543338,0.9822686090272553,0.9717461870453057,0.009151100473558443,108,0.9905245170075645,0.9901320640914566,0.9908677290396327,0.9911483888910949,0.989656415773251,0.9904658229605999,0.0005286595718700191
0.04534459114074707,0.012145882607586093,0.001235198974609375,0.00011309883826542773,0.6,0.05,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",0.9490055454374611,0.9684698036738348,0.9460061094913319,0.9568125214061214,0.9739219536076154,0.9588431867232728,0.01082344034235509,153,0.9770872892860364,0.9775676573011427,0.9777405609228612,0.9777281737872359,0.9762013289803627,0.9772650020555277,0.0005822828739234153
