target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,4.6088300970209035,8.841457243757194,0.5210731299040708,0.7280773188801427,1.2055568024529697,0.762962962962963
SP.URB.TOTL.IN.ZS,7.819048769007182,19.21450218999915,0.4064634602493677,0.8339672158569107,1.5256213927472695,0.6880658436213992
NV.AGR.TOTL.ZS,4.697473231163429,9.948330254257927,0.47274948259196403,0.7758685694705391,1.7157030916520704,0.5069958847736625
EG.USE.PCAP.KG.OE,1512.6493036975498,2138.3961985717187,0.7073550190151319,0.4987257702971907,2.670892619060393,0.5736625514403292
FS.AST.PRVT.GD.ZS,32.62158191036368,46.77477029512699,0.6973884688795824,0.5131502124688335,2.282769744941736,0.47818930041152263
NE.IMP.GNFS.ZS,4.363586488881108,9.180806733910227,0.4752783046248622,0.7698516158026579,0.8205652033674216,0.7094650205761317
NY.GDP.MKTP.CD,1979855394351.3462,3001552356209.84,0.6627332957642651,0.5589791961873722,1.7568357851727334,0.6329218106995885
NE.EXP.GNFS.ZS,5.516376982034155,11.734009971442642,0.46666878440361276,0.7783805859520981,0.8496568017133415,0.6954732510288066
NY.GDP.MKTP.KD.ZG,4.463362254092102,4.681038500010852,0.9524783993412382,0.09223163704446635,0.8685306002850407,0.47901234567901235
EN.ATM.GHGT.KT.CE,1259407.9513471026,1884450.0710822586,0.669542069236229,0.5497774580090427,2.902284444501474,0.48477366255144033
