target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,4.6109061547463295,8.841457243757194,0.521305405778584,0.7278243727232592,1.2070616622972938,0.7572016460905349
SP.URB.TOTL.IN.ZS,7.819098671279987,19.21450218999915,0.40646523051032474,0.8339620936323628,1.5255812880720327,0.6880658436213992
NV.AGR.TOTL.ZS,4.7004116475577025,9.948330254257927,0.4730582084110336,0.7755770742729632,1.7175149786353174,0.5069958847736625
EG.USE.PCAP.KG.OE,1512.6488775585433,2138.3961985717187,0.7073547891418277,0.49872611658216365,2.670889939165952,0.5736625514403292
FS.AST.PRVT.GD.ZS,32.62228156709028,46.77477029512699,0.697402557626572,0.5131319870569235,2.2825771213121557,0.47818930041152263
NE.IMP.GNFS.ZS,4.36323656176554,9.180806733910227,0.47524249537082647,0.7699308028328146,0.8203186052176233,0.7111111111111111
NY.GDP.MKTP.CD,1979854673361.5195,3001552356209.84,0.6627330206241158,0.5589795920554941,1.756827168610906,0.6329218106995885
NE.EXP.GNFS.ZS,5.517491041825091,11.734009971442642,0.4668068646215028,0.7783424901317457,0.8518079381872752,0.6946502057613169
NY.GDP.MKTP.KD.ZG,4.462043802152197,4.681038500010852,0.9523136955021758,0.09254855600972181,0.8691813750114588,0.47736625514403297
EN.ATM.GHGT.KT.CE,1259407.4873654891,1884450.0710822586,0.6695417974928296,0.5497778830066045,2.902270563551562,0.48477366255144033
