target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,4.135314690938608,5.575594450013033,0.7433645177653702,0.4437316453784982,1.1323940719577823,0.6790697674418605
SP.URB.TOTL.IN.ZS,5.667773369571166,13.69442901400052,0.4160637450989664,0.8209626055039836,0.6899217846931995,0.6232558139534883
NV.AGR.TOTL.ZS,1.670987558359343,4.162336384365831,0.404845870828111,0.8337313916557602,0.7251180823496771,0.613953488372093
EG.USE.PCAP.KG.OE,1526.8315276106455,1992.9265004745928,0.7673089383164753,0.4079919647699678,1.0535948457885922,0.4790697674418604
FS.AST.PRVT.GD.ZS,30.805815279977963,48.851664960913936,0.6328552836566458,0.5979744591795735,0.9999564340579219,0.6744186046511629
NE.IMP.GNFS.ZS,3.255279051480977,8.85915868576389,0.36723857422771766,0.859816492195977,0.4409345885750552,0.8186046511627907
NY.GDP.MKTP.CD,3032605627874.609,4879431890868.638,0.6247929857729275,0.6085873936593963,0.9322467171875033,0.6372093023255814
NE.EXP.GNFS.ZS,3.7004216064553184,10.619038574262866,0.34502953511177903,0.8775475139226652,0.43458877782835675,0.8093023255813954
NY.GDP.MKTP.KD.ZG,3.279779829638205,3.4133029243895465,0.9665096190109237,0.05123699530517811,0.7240077192623999,0.5441860465116279
EN.ATM.GHGT.KT.CE,1495244.3360947524,2565961.635048749,0.6038801317613596,0.628227154654504,0.8955805682963831,0.6232558139534884
