target,rmse,std,rmse/std,r2
SP.DYN.LE00.IN,8.533716870643847,9.10414621079527,0.937344004924368,0.11777052184976367
SP.URB.TOTL.IN.ZS,17.893069124071236,18.761258004895872,0.9537243781521433,0.08666664101426758
NV.AGR.TOTL.ZS,8.862963529046558,8.962817130162678,0.9888591276976877,0.018133582875836107
EG.USE.PCAP.KG.OE,2063.4306544883825,2119.117552769532,0.973721656824384,0.04796434957863005
FS.AST.PRVT.GD.ZS,46.48710627926388,47.4955274442183,0.9787680815601264,0.0380707093607523
NE.IMP.GNFS.ZS,9.562708676445144,9.507144038086075,1.0058445142028432,-0.015886656656282083
NY.GDP.MKTP.CD,2950248749881.126,3118418831461.742,0.9460720029381725,0.10126442272674518
NE.EXP.GNFS.ZS,13.050174933005621,13.235285440476007,0.9860138635994746,0.023775741698236263
NY.GDP.MKTP.KD.ZG,4.932613446109222,4.9922109535596695,0.9880619012287629,0.01971612246505927
EN.ATM.GHGT.KT.CE,1986291.4328893968,2009336.137793319,0.9885311847677063,0.018784722654272
