country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ARG,1960,-1.9277667137584238,-0.42393285649568524,-1.9629406208406106,-1.3662072239044691,0.377602489055547,-0.34235088525376683,-0.3312077488606905,0.558942249156202,0.4153099448463337
ARG,1961,-1.9572948749574646,-0.3505358278638844,-2.163452398901617,-1.3406245535245007,0.4166656425263847,-0.3356760589911255,-0.34196787095669257,0.5722216198310544,0.4357622629019917
ARG,1962,-1.7400811906555682,-0.5087374134285786,-2.276970541491405,-1.071443443379882,-0.7915426726267004,-0.715294462438619,-0.34296141323416823,0.44493357879102,0.5330988688164634
ARG,1963,-1.6059326615154812,-0.6122242195963283,-2.3991679748022703,-0.952541330022862,-1.6412156668593116,-0.9338308359083699,-0.41201006159503323,0.36383951213750376,0.6184929463354087
ARG,1964,-2.036173226698147,-0.33166594519141007,-2.0979490284777143,-1.5808548960958486,1.3179353133429106,-0.1075317153179277,-0.34416113727797365,0.7207307506733951,0.27568104155744383
ARG,1965,-2.0490458581163495,-0.31842606159938697,-2.156172133138427,-1.6230330944700022,1.4139099558284671,-0.07679198906214635,-0.36666215406327496,0.7463250567629983,0.2602371817863236
ARG,1966,-1.6483863932972005,-0.5157259511029662,-2.525929958340675,-1.1671861849903769,-0.6882216326295599,-0.6601711413434282,-0.5703130233445342,0.48176133029076407,0.5543509255659138
ARG,1967,-1.6909420715856396,-0.5047731280863992,-2.35506963725007,-1.355942065576127,0.03904296682094719,-0.45719963316674367,-0.5770162132684266,0.5726081755760288,0.4688270559969606
ARG,1968,-1.6804436603570607,-0.45898308601947396,-2.3240734433752173,-1.391578950906409,0.36591254029096454,-0.3656554045331968,-0.5771278502111915,0.6056495489863326,0.4897210293731395
ARG,1969,-1.7123296613635004,-0.4221463699932743,-2.090436400983797,-1.5894154922575126,1.287909415657726,-0.10943064549990045,-0.5747087753902336,0.7079846307267513,0.42314252988494455
ARG,1970,-1.5702349433723075,-0.42666190265960074,-2.4993735136544335,-1.2838015873716464,0.07609208872590129,-0.46698446841222996,-0.588096147034477,0.5668303506998872,0.6035899964364931
ARG,1971,-1.5543371280488703,-0.43811001528969024,-2.277750156043193,-1.3965634155455042,0.5441569610714408,-0.3484080564403017,-0.4469994586047298,0.6570714464129283,0.5283927697934155
ARG,1972,-1.3851709515320665,-0.520815203382983,-2.3765802942341514,-1.2559239760262495,-0.2178112829570777,-0.5796227739452309,-0.4359754843450767,0.580272469167211,0.6018403847905072
ARG,1973,-1.380953352939483,-0.4748942439126015,-2.407362195642818,-1.3247638507983206,0.009653440956792356,-0.5082270936826195,-0.315199124541669,0.6515035355486326,0.5377270717420152
ARG,1974,-1.288581457628354,-0.43528320444441587,-2.319475578940812,-1.4250414004339502,0.5478298222703128,-0.34057326113160324,-0.31674920581903965,0.7187484117479606,0.5289957970869249
ARG,1975,-0.984860509443211,-0.5334793564598493,-2.6495251397202333,-1.2140237843052515,-0.4508226344512793,-0.6337609467557661,-0.4395057483992052,0.6080153351717241,0.6459943542498462
ARG,1976,-0.8931867170149138,-0.6403869636301566,-2.5884697838125965,-1.2142391852491405,-0.8537592457172257,-0.7881700533636453,-0.3731908958124373,0.5640096006025472,0.60287149073285
ARG,1977,-1.0074264739844174,-0.55720318065045,-2.1335091735645046,-1.5733205586312287,0.850823254108189,-0.35266424623145937,-0.3777259068064446,0.682531704722657,0.48269938005117896
ARG,1978,-0.7226558439894827,-0.6288625974955256,-2.7298229792387176,-1.060446672979699,-1.2383200275799038,-1.0055953076465718,-0.5157628040858233,0.3613850473048109,0.7943703836550189
ARG,1979,-0.9935459423789199,-0.38731987432847415,-2.245621935079109,-1.6309743432414916,1.5687948816419692,-0.22911490347787966,-0.37750339158708446,0.6529139012028286,0.5121320068914731
ARG,1980,-0.6973726738473132,-0.4733933389144086,-2.6554299748241026,-1.2370112073076838,-0.022727885082931745,-0.7262074958688236,-0.48657476500578917,0.41543458959729485,0.7487928305883244
ARG,1981,-0.39080936647312003,-0.556928722735625,-2.748272296454887,-0.9234019838258797,-1.281201000173473,-1.0696928240613048,-0.49915431830943,0.25685290437954483,1.0283197343528212
ARG,1982,-0.5209608901990636,-0.4976227311921056,-2.5365404889045147,-1.138167430658107,-0.4584117949930279,-0.8664415673562175,-0.31092450696465346,0.3850823984388387,0.8916023060200418
ARG,1983,-0.5954717610478899,-0.4819576211016394,-2.428117231565335,-1.4132532080039992,0.5181343470892049,-0.6391860293150484,-0.3100209210747016,0.5093845600570415,0.686485509916024
ARG,1984,-0.4958400935418194,-0.4801664575188202,-2.7210152130989482,-1.299960191185688,0.021177696961468984,-0.779110690504565,-0.24917809478199482,0.48744398106902653,0.6950052647523058
ARG,1985,-0.16062887384059418,-0.7605238496067792,-2.7291263342863403,-1.1519019708343834,-1.3131772357568492,-1.160512910067532,-0.19814876634751208,0.4490494343711162,0.6946935669243708
