Principal Component,Explained Variance Ratio
PC1,0.49014188349925975
PC2,0.14873795785925714
PC3,0.11462526229750879
PC4,0.0727062601049884
PC5,0.0481311876694893
PC6,0.04006122174301688
PC7,0.035172547760565526
PC8,0.02523201936318838
