target,rmse,std,rmse/std,r2
SP.DYN.LE00.IN,6.723743814706084,9.10414621079527,0.7385364491107781,0.45231932038560374
SP.URB.TOTL.IN.ZS,17.759705113225557,18.761258004895872,0.9466158990293213,0.10023076085595883
NV.AGR.TOTL.ZS,8.602638970068876,8.962817130162678,0.959814179530486,0.0749656162486485
EG.USE.PCAP.KG.OE,2135.3414056148017,2119.117552769532,1.0076559475542386,-0.01954898810085992
FS.AST.PRVT.GD.ZS,37.6904027445162,47.4955274442183,0.7935568836198766,0.36767598057662687
NE.IMP.GNFS.ZS,9.079514639531416,9.507144038086075,0.9550202040863633,0.08418306167896827
NY.GDP.MKTP.CD,3363164575124.1865,3118418831461.742,1.0784839230680636,-0.16791410553569053
NE.EXP.GNFS.ZS,13.66700831883588,13.235285440476007,1.0326190833058713,-0.0706902459860892
NY.GDP.MKTP.KD.ZG,4.849503229037083,4.9922109535596695,0.9714139234399081,0.05247167654604379
EN.ATM.GHGT.KT.CE,2146759.8531156806,2009336.137793319,1.0683925963095862,-0.14616011737938206
