country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
ARG,1960,0.453720015860148,-1.241642947143669,-3.4714993611782394,0.15130413959178624,-0.19112787798729744,-1.194863897892429,-0.23262843190090232,0.6292402697454308,0.85315925343699,0.7748721186797649,-0.25946348353132054,-0.24789270205895736
ARG,1961,0.48438197307874004,-1.2797319177175497,-3.538300820689565,0.29372035329351326,-0.1284723734072013,-1.1944504461417567,-0.25541314770180684,0.6177175411463894,0.9436613264494772,0.8568159701377627,-0.2680172642206986,-0.26075402412314413
ARG,1962,0.28992342855785486,-1.26132205213344,-3.580109033336721,0.17080432695193046,0.30262437771759276,-1.0581108865429758,-1.2761652720176981,-0.12177221121203766,0.4117689386386477,0.780726501434718,-0.6299677119969255,-0.4450643289555983
ARG,1963,0.12686273755192207,-1.2268549239770734,-3.6536529194812224,0.09389341102429555,0.5875342433332489,-0.9266637180387021,-2.053576429156953,-0.6547913522846712,0.052375561484876494,0.7049848957476771,-0.7789864570678581,-0.6585456438902748
ARG,1964,0.5256801107604063,-1.3761955204518608,-3.601409861931868,0.43482561263653535,-0.5626807505958037,-1.3403436236648103,0.5209830783525574,1.160816662342728,1.2827667638243143,0.7707535748994822,0.08450450784969608,-0.2311391114771875
ARG,1965,0.4933019994620956,-1.401604297483922,-3.670960611254207,0.5189993160613919,-0.6482307491111204,-1.3642785758395597,0.5664315454989252,1.1952811225492213,1.3154787478610204,0.7391491832745913,0.20747797716885472,-0.3390254842314622
ARG,1966,0.15384425409617775,-1.3180201931922801,-3.766533347965636,0.3558724811970662,0.1911778829738875,-1.031739209637523,-1.3556399138094521,-0.06898301058820072,0.5094234092870848,0.7508014299801727,-0.5199340528729895,-0.5923595536659024
ARG,1967,0.2253431889031596,-1.3376731125788035,-3.707932128407448,0.3310572749053818,-0.1007388328228121,-1.1023773659422027,-0.7034961479055984,0.41100979085091255,0.7934175849472861,0.7380180904784446,-0.3579887550284428,-0.4045407997663964
ARG,1968,0.22815698351339472,-1.3380174785645258,-3.6953766647260533,0.3777634356496076,-0.24221350462576383,-1.1417630474616267,-0.42743211666536424,0.6032838303446679,0.928937831737328,0.8005923994829653,-0.29534540706283735,-0.36919296740777424
ARG,1969,0.29676586277842876,-1.3486200342069374,-3.6042459903308357,0.3619519755679756,-0.6369138114437047,-1.2455429482170375,0.40212864455925795,1.2033663271719055,1.2774172927481298,0.8290206953420953,-0.10503282020035613,-0.15673963789599485
ARG,1970,0.13401144165143353,-1.346696813393103,-3.7484914287998845,0.44533562398771703,-0.10705332693576097,-1.0825393980474196,-0.7453268258006043,0.387289371559706,0.8481345198800639,0.8895003264267451,-0.4088279868972328,-0.4668537654713844
ARG,1971,0.11854837536114464,-1.3314614216703546,-3.630166208274814,0.4070777555281069,-0.2819589624781083,-1.186873361432157,-0.2485841738738779,0.6860001722339012,0.9733946023081921,0.7615740295319733,-0.25651051821143284,-0.32373422392339496
ARG,1972,-0.073251330990834,-1.3034796620057159,-3.6321513298545303,0.3460807415395208,0.0310256424396305,-1.0627224771515176,-0.9412188786778959,0.20694451001672923,0.6405168366063178,0.6442598382015998,-0.37009977096848923,-0.41610605147918217
ARG,1973,-0.04499790045848799,-1.3628127136332662,-3.624808696403042,0.45420749293271806,-0.04723702207514665,-1.2474707430661671,-0.7021665031804694,0.36021837177191557,0.797595681416398,0.6083678737355885,-0.5058888173545539,-0.4657653476470529
ARG,1974,-0.1055259091922381,-1.3571252245668506,-3.5530094979151494,0.5527288197787639,-0.27703640954382813,-1.4001138315178427,-0.23700088505992742,0.7411581948694715,1.0275350039096234,0.5601829313523485,-0.5085668049651023,-0.366615932641115
ARG,1975,-0.36518213945962835,-1.4629598363035718,-3.716342092943235,0.4848785995535734,0.15807487835223047,-1.0926873832982482,-1.2004193911987262,0.07863499239205758,0.7845410852389952,0.5098025308048364,-0.7920811637657784,-0.47844128907415
ARG,1976,-0.41459529526162725,-1.6215480464122851,-3.7849109307211024,0.15616750030775453,0.19892718370167095,-0.86691673676628,-1.506485397033884,-0.2491659600270986,0.6924238042473584,0.5744995017861827,-0.8604773217098951,-0.6040234025390322
ARG,1977,-0.3325664479518277,-1.5226023573066279,-3.5585497472256358,0.18950175971840508,-0.5130302915880653,-1.0684777081108219,-0.04525184667027349,0.8698904157380447,1.1991728886733535,0.535948771160184,-0.2702933975766555,-0.1916541195983678
ARG,1978,-0.6480750971814899,-1.4565462483988156,-3.7320987604119717,0.21975703324136925,0.3870444898653941,-0.7119704126304922,-2.071548974018794,-0.4761126645466008,0.3812735422137463,0.6183231973617556,-0.7676643971849688,-0.5674490119306805
ARG,1979,-0.43111165377249105,-1.514081849434834,-3.500359800945191,0.3215606136023525,-0.6281292050691358,-0.9347987904829207,0.38683756054176455,1.2273282440034112,1.49152680596433,0.6491398238104208,0.22433742886337432,0.1382529373036821
ARG,1980,-0.7476541533148595,-1.496793787045108,-3.6023367097639865,0.26584946322524833,0.06285707190600107,-0.5883676320943855,-1.1441641622032799,0.18835866609272217,0.8858068981174311,0.6889989120855097,-0.12659141506737703,-0.051360574755746194
ARG,1981,-1.0304017575286526,-1.5650839292368122,-3.6695633282985622,-0.14393716311852212,0.50127359578269,-0.03698129891781561,-2.245486980857803,-0.768277574569825,0.470337768336999,0.9539062261185103,-0.28510635349339997,-0.24094705061093938
