target,rmse,std,rmse/std,r2
SP.DYN.LE00.IN,4.639138441132395,9.10414621079527,0.5095632620257704,0.7392767440594736
SP.URB.TOTL.IN.ZS,8.023967002719578,18.761258004895872,0.4276881113529632,0.8163301340551021
NV.AGR.TOTL.ZS,4.559571982772781,8.962817130162678,0.5087208537847323,0.7401380850764858
EG.USE.PCAP.KG.OE,1594.987990144924,2119.117552769532,0.75266612183,0.43116240744053735
FS.AST.PRVT.GD.ZS,33.85709467776919,47.4955274442183,0.7128480616945052,0.48975647896693986
NE.IMP.GNFS.ZS,5.664366548324312,9.507144038086075,0.595801065560024,0.6435602717190116
NY.GDP.MKTP.CD,2086826699202.635,3118418831461.742,0.669193848545497,0.5503367107358161
NE.EXP.GNFS.ZS,7.654950293600742,13.235285440476007,0.578374401370329,0.6641064388841207
NY.GDP.MKTP.KD.ZG,4.602645718950266,4.9922109535596695,0.9219653900379299,0.1464817941383486
EN.ATM.GHGT.KT.CE,1389780.5278809713,2009336.137793319,0.6916615402175803,0.5196356072562057
