country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
ARG,1960,-2.5001717915939032,-1.5002593336469259,-0.8539806289684954,-1.5796960449310131,-0.7709430340622642,-0.0829438529314604,-0.7840985175660761,-0.49973279222500017,-0.9070050542680955,0.3280339535855307,0.28546846711222273
ARG,1961,-2.522358715421547,-1.6572004362336696,-0.8092309378098557,-1.6189289875223192,-0.8712706867713691,-0.07886617574484753,-0.8151931215692392,-0.5974687410945836,-0.8717199054299525,0.32526659202589947,0.27882126728948686
ARG,1962,-2.297057428895428,-1.6070022133471549,-0.6816050345051844,-1.5912426052660043,-0.9428665159259526,-1.369211179805665,-0.4030646166460334,-0.39192514082353996,-0.8937419115779335,0.6516345695164417,0.3222271409651509
ARG,1963,-2.156387043716867,-1.6006827749751378,-0.604943132094909,-1.605979648640696,-0.9670848431087089,-2.295490999231974,-0.1554808016531179,-0.35138939134708613,-0.8631311918841865,0.7826955394377095,0.3225561224082678
ARG,1964,-2.615277467263596,-1.6604011915240995,-0.9326176205476332,-1.7429198183143535,-0.8244630180066976,0.8702506201127722,-1.1057080545454603,-0.7278319393704495,-0.9610528101524601,0.059341689034611275,0.3122005018777914
ARG,1965,-2.6282153577549363,-1.7054136602445196,-0.9406527015988496,-1.7845207400544492,-0.8380712562840661,0.9550867379646645,-1.150743763345352,-0.7935343201329494,-0.958086301425502,0.00024148665800742674,0.3114287169344075
ARG,1966,-2.2098838819766953,-1.7603429213861241,-0.6510313667579622,-1.7915442023580854,-0.9371519270263243,-1.324793580803269,-0.4925636334362758,-0.6587707182290078,-0.8830661746399945,0.5782911066696339,0.2459695416290071
ARG,1967,-2.2670914376342837,-1.6898322505144243,-0.7625763159045126,-1.8439802979731907,-0.8347838968091876,-0.5341376332647105,-0.7218261123565887,-0.7266050389593447,-0.9310955180727631,0.4015007281927342,0.24974710970110958
ARG,1968,-2.261549471841972,-1.7059896851703953,-0.7845002125447675,-1.8570119819875983,-0.8191961962921258,-0.18208965536940022,-0.8282228919014789,-0.7695888192166066,-0.9230666202490968,0.3966775325467914,0.2536721113122902
ARG,1969,-2.3118977360364896,-1.6180220195291044,-0.9108921360372684,-1.89429004914816,-0.6914092121954744,0.8299006890798745,-1.1123502850285354,-0.8344954638348455,-0.968919212392073,0.24102432610416247,0.2585739663523805
ARG,1970,-2.1472880062156428,-1.81736950257586,-0.7151128135143247,-1.8813816834153823,-0.9046929209424448,-0.5218013697462259,-0.7408766327899927,-0.8024901646332789,-0.8653273884828695,0.5421480258833944,0.25899058091715565
ARG,1971,-2.146427857054485,-1.6952943343564226,-0.8369936226345236,-1.8666219986123636,-0.8469337819706588,0.011435911469889974,-0.8813457806825327,-0.7275218948886919,-0.9083231144019808,0.422439202089621,0.32924751520024176
ARG,1972,-1.9743870261236294,-1.6901391564934742,-0.7729763369325211,-1.8643591010522051,-0.8932357999028829,-0.813696672027271,-0.636024474381463,-0.6341456008584336,-0.88922577553928,0.5817221621589387,0.33974629144599533
ARG,1973,-1.9751656232312507,-1.7420933606800204,-0.8318164085669961,-1.881536687436223,-0.9385075922587129,-0.5803189403464473,-0.7338578725578475,-0.648747612471113,-0.8738290033483233,0.44176985750355774,0.37341541060621897
ARG,1974,-1.8999858557665206,-1.7327801984184872,-0.8959396320589902,-1.9289723449166802,-0.8646979843830861,0.007288001428565768,-0.9229499831557456,-0.7112087996256345,-0.8777579710396092,0.37637327696856027,0.33041580242411217
ARG,1975,-1.594672306075884,-1.8508336501483498,-0.7388729552187473,-2.0293035053020434,-0.9509193759011961,-1.1066633905186318,-0.6260430714555303,-0.7208202749304475,-0.8490463638625241,0.6264252854183835,0.20672098734596475
ARG,1976,-1.508099403151958,-1.7515681289010026,-0.7729354962432633,-2.0369521552092675,-0.929686593728068,-1.5359324493222692,-0.47243757441133466,-0.5997206455151798,-0.8859608490625167,0.6157891552667701,0.25084828696014005
ARG,1977,-1.6537706320962147,-1.5817653600263422,-0.9957660775699363,-2.0858919860827334,-0.6835078252860994,0.3319816497655235,-0.9608961766333666,-0.6996682736639691,-0.9758914876344598,0.35093495305528954,0.24438402546950577
ARG,1978,-1.3372035286752504,-1.8308410455509256,-0.6507708181582822,-2.0886103411610333,-0.9415071054436882,-1.984877205414409,-0.2738875903762657,-0.6229826820137288,-0.8523250727593101,0.939595924624689,0.18198939017658164
ARG,1979,-1.6486043707862563,-1.7631235065819522,-0.9982046584705998,-2.1646119269976314,-0.7202486158817282,1.0602041329082443,-1.1523478787912207,-0.8389360656203948,-0.9450721497011708,0.3517150876913683,0.184385782177969
ARG,1980,-1.3351704387414238,-1.9126306089806298,-0.7437617498191926,-2.1799528974309443,-0.883740796426863,-0.6928064060896916,-0.6283068715086092,-0.7527763505261877,-0.8712148327441818,0.8292610461590907,0.12218734104264968
ARG,1981,-1.0218770370069645,-1.8822765533281607,-0.5999148417479897,-2.099036854530469,-0.9357076424701031,-2.0323281010664402,-0.23981085068249405,-0.5950892300362416,-0.7770089014722059,1.2454252942805435,0.12194892412451529
ARG,1982,-1.1634730554984356,-1.8110532698090507,-0.7718852069468497,-2.08626379381691,-0.9061210189222001,-1.1382871163635238,-0.4923004474604809,-0.5908189108315637,-0.8148755022611343,0.9590785939454031,0.2120814721289183
ARG,1983,-1.2572089927411794,-1.790887194818137,-0.9150566802684801,-2.212847149897428,-0.8207745598398133,-0.10362932644514035,-0.7823050120949798,-0.713448417295076,-0.9178580854562436,0.6484565486120146,0.18274720822396393
ARG,1984,-1.1513827787906534,-1.9510547465639911,-0.8389406144346363,-2.2614052260983426,-0.9773416430638583,-0.6791229064415752,-0.6588683217872738,-0.7123775226420881,-0.8756660723498118,0.6923405879465452,0.16591722428204897
ARG,1985,-0.8230362966804181,-1.7724081611167772,-0.8126908273267192,-2.2814095327819373,-0.9784087914445093,-2.0944708573508364,-0.25080477985490485,-0.48318273599125483,-0.9382174174734469,0.8171490805921354,0.1822649788607424
