country_code,year,PC1,PC2,PC3,PC4,PC5,PC6
ARG,1960,-1.2486338207753445,-1.604287997401856,-0.19197208572804944,-0.7566601350058868,0.08470402100684185,-0.854473441976481
ARG,1961,-1.2807951894522138,-1.8249695445086067,-0.1827975374260687,-0.7721848613905198,0.09250358841697462,-0.8606305947957572
ARG,1962,-1.0065681937586806,-1.798047030303018,-1.1652288334793544,0.01588586460896272,-0.31301432531086476,-0.8004801795426914
ARG,1963,-0.8356520218778499,-1.8163700164366865,-1.8729002385630842,0.53917745132069,-0.527836402397203,-0.8319650627832139
ARG,1964,-1.3593046480981499,-1.8213358610474106,0.5235232101578811,-1.3975870442605463,0.38158340114653166,-0.9692959996156549
ARG,1965,-1.3690677989159634,-1.8851059640808792,0.5875002981164015,-1.4726972102333595,0.4300560753361076,-1.0082758872435351
ARG,1966,-0.9797973068954139,-2.0356499618954875,-1.15379902998391,-0.08394887888597558,-0.22768441187149913,-0.9299625177552849
ARG,1967,-1.0480834500878429,-1.9220214319461695,-0.5692131072618767,-0.5815789684322176,0.0006145971624462485,-0.9934456765154814
ARG,1968,-1.0659784193431123,-1.933193690035403,-0.31475019282856126,-0.7926005817821683,0.07895568420782575,-1.0078882335749946
ARG,1969,-1.1475407179881294,-1.785502215722446,0.43125492808549737,-1.406503680221796,0.343115206406455,-1.0608919736606661
ARG,1970,-0.9553459975883376,-2.096251681540529,-0.5753977178444131,-0.5988516917293188,-0.04497693805282386,-0.9998873643521573
ARG,1971,-0.9302356364422549,-1.9040418645530148,-0.17724863191130344,-0.9337492178293713,0.07377857660350533,-1.0261422078833164
ARG,1972,-0.7335633942943766,-1.9138594268812323,-0.798679071200906,-0.4503068169148645,-0.17311600938144212,-1.0045469860843785
ARG,1973,-0.728153187973004,-1.9625930809885137,-0.6041118909301938,-0.613953151844338,-0.09737255244852683,-1.0152172663579058
ARG,1974,-0.7444108887744093,-1.9259155500454606,-0.17089616877902297,-0.9609275388367968,0.02921109236043815,-1.0233614501329649
ARG,1975,-0.5466862097897393,-2.136949577996218,-1.0126715690174164,-0.29063001620962203,-0.3389123832765582,-0.95516762233337
ARG,1976,-0.36393574968478665,-2.003291089184125,-1.3290601840394725,-0.07412594445538145,-0.4476416456592282,-0.9651334663737574
ARG,1977,-0.5120016918354603,-1.719729091598073,0.05403178786671243,-1.2055191537345438,0.03654757787067975,-1.0296838207034615
ARG,1978,-0.14914545550660596,-2.1382448017395417,-1.6826699585038094,0.1961124304098058,-0.6513702964492385,-0.8953925832854661
ARG,1979,-0.5182086960881038,-1.9451783029772702,0.6088773891064907,-1.6457496113046854,0.17162668641847528,-0.9674189452126997
ARG,1980,-0.20610321021220787,-2.2095884337109424,-0.7110045367477593,-0.573685829232606,-0.37719236035643305,-0.851148318021977
ARG,1981,0.10267316323838818,-2.188120508859684,-1.7471739641423012,0.2353681512244359,-0.8104896221896079,-0.817497156341314
ARG,1982,0.044754474863481275,-2.050093305260987,-1.060924840156325,-0.3506900663962121,-0.5538675275164392,-0.8891094600381754
ARG,1983,-0.06400428598447956,-2.0100423265162184,-0.26582400700797965,-1.000805849628839,-0.26757671750359246,-0.937259338273618
ARG,1984,0.020736163835007083,-2.2472759279375607,-0.6818978673089944,-0.67374510993214,-0.43595512997853597,-0.8840611393508866
ARG,1985,0.35396965380251805,-2.043995460775761,-1.74628525607282,0.14129417328813285,-0.8579826373003778,-0.9022053706559452
ARG,1986,0.012860770395179681,-2.037959831359676,0.02513296865046048,-1.2637799029766152,-0.21239286246843203,-0.9493011508480311
ARG,1987,0.18390734794066455,-2.047746159765017,-0.5112752264842066,-0.836364266297855,-0.4157716345397045,-0.9058287918207956
ARG,1988,0.3278862792406338,-2.1347067405412234,-1.0967059425757006,-0.3810648085587887,-0.6072385405363054,-0.9016369378875555
ARG,1989,0.5923209318309035,-2.0325364477730448,-2.058248578830791,0.3369941285759625,-0.9706157846738129,-0.9117403534134293
ARG,1990,0.3999826041949558,-2.2463215130883154,-1.2947546003452812,-0.24428531129555484,-0.719336128608643,-0.9414861880170311
ARG,1991,0.09335386705899097,-2.0835472311479175,0.5141031745166372,-1.6734764238607556,-0.08180677651764488,-1.0079672186444864
ARG,1992,0.2066152484904295,-2.036363395047732,0.33903140616546024,-1.5087047921592471,-0.17502445065871772,-0.9636000757774771
ARG,1993,0.2660738346806582,-1.9389246806960005,0.38288717633878133,-1.5473937718527793,-0.19043963842340664,-0.965530802874765
ARG,1994,0.4248203509275868,-1.870126371097556,0.015945147502504402,-1.2488567011556804,-0.3247721412194852,-0.9285189151660732
ARG,1995,0.7383958603168156,-1.9624645596792556,-1.3253174214842958,-0.18564155217458786,-0.8223953849556582,-0.8744936533640449
ARG,1996,0.5652636145409742,-1.6930862799411006,-0.0368992194955041,-1.2314567705975448,-0.3397083699494096,-0.9462250417049075
ARG,1997,0.5699633262345578,-1.524060619710943,0.3615332738457951,-1.5492807030377571,-0.20737647567654058,-0.9572683722434656
ARG,1998,0.7349263172509852,-1.6152636529759856,-0.28941684087108466,-1.0217156761206325,-0.4578096025794464,-0.903677935628976
ARG,1999,0.9380498366160132,-1.8988071337701835,-1.3923284981056587,-0.13439310108828934,-0.8789550123926188,-0.8246588869720016
ARG,2000,0.9115197724785364,-1.7822977666738729,-0.9936393800047029,-0.4700512309922081,-0.73245825477179,-0.8597648696067567
ARG,2001,1.0086217096426477,-1.9213041691226826,-1.5420227118582486,-0.04424903820198821,-0.9736063958081425,-0.8557357592421435
