country_code,year,DT.DOD.DECT.CD,DT.DOD.DECT.GN.ZS,DT.ODA.ODAT.CD,DT.ODA.ODAT.GN.ZS,EG.ELC.ACCS.ZS,EG.FEC.RNEW.ZS,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,EN.ATM.PM25.MC.ZS,EN.POP.SLUM.UR.ZS,FS.AST.PRVT.GD.ZS,FX.OWN.TOTL.ZS,GB.XPD.RSDV.GD.ZS,GC.TAX.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS,IC.BUS.EASE.XQ,IC.BUS.NREG,IT.CEL.SETS.P2,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS,SG.GEN.PARL.ZS,SH.DYN.MORT,SH.H2O.SMDW.ZS,SI.POV.GINI,SI.POV.NAHC,SL.TLF.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,TX.VAL.TECH.MF.ZS,per_allsp.adq_pop_tot,per_allsp.cov_pop_tot
ARG,1976,9501611014.5,18.5632714483671,14090000.1525879,0.0275275947563916,,,1416.10861369304,247051.66,,,13.5627672951483,,,,,,,,,9.17538829665278,5.92149632801213,8.15217071220236,51169499890.7722,-2.01825151667566,27.0718193054199,1.16563999652863,,59.8,,,,,,68.283,65.045,18.634,81.366,,,
ARG,1977,11675739426.3,20.7240052366939,16389999.3896484,0.0290916421460532,,,1432.13887104265,247370.86,,,18.3829098551981,,,,,,,,,9.6158924127723,7.32639415527493,8.08714211405919,56781000100.9448,6.93414775537975,24.0776195526123,1.71984004974365,,55.7,,,,,,68.585,65.326,18.245,81.755,,,
ARG,1978,13507657037.8,23.4034688444464,16760000.2288818,0.0290385032794284,,,1438.34577538979,248238.32,,,20.5571174145343,,,,,,,,,8.6083899381245,5.71540643432856,7.50442747786782,58082870156.2634,-4.50612480247695,21.3801898956299,1.93554997444153,,51.2,,,,,,68.891,65.611,17.861,82.139,,,
ARG,1979,21176835027.4,30.858252073302,28270000.4577637,0.0411942010743964,,,1496.10295144932,255920.06,,,24.0562276271982,,,,,,,,,6.51091546668746,6.32976917431398,7.79627735903041,69252328953.3789,10.2227634648727,22.2299098968506,2.4002799987793,,46.8,,,,,,69.197,65.897,17.484,82.516,,,
ARG,1980,27322463712.9,35.8155600379831,43680000.3051758,0.0572577820883159,,,1498.78124635707,253870.99,,,25.3957927507699,,,,,,,,,5.06197268096631,6.48369977949523,6.35350500480657,76961923741.9479,1.51878394940456,21.7346897125244,2.60715007781982,,42.8,,40.8,,,,69.496,66.173,17.113,82.887,,,
ARG,1981,35809463187.8,46.6013548308641,36830001.8310547,0.0479294530261233,,,1440.78027521133,245776.76,,,33.5523067783184,,,,,,,,,6.9210494803617,7.37192799858578,6.47552296064522,78676842366.4213,-5.18978914005386,23.1026306152344,,,39.4,,,,,,69.777,66.431,16.687,83.313,,,
ARG,1982,43787004262.2,55.2560428399715,29489999.7711182,0.0372142538216609,,,1426.35127133433,243613.02,,,33.9063722686192,,,,,,,,,9.09049307859513,6.52099302139343,9.59615604621897,84307486836.724,-0.735659161627296,23.8299999237061,1.59786999225616,,36.5,,,,,,70.033,66.664,16.241,83.759,,,
ARG,1983,46108319454.6,47.0146805803112,34419998.1689453,0.0350965994560102,,,1429.28032825042,248681.79,,,28.1182756416111,,,,,,,,,9.15152068682072,5.83614942003836,8.65832496118367,103979106777.911,4.34909327957422,24.8389301300049,1.61749994754791,,34.1,,,,,,70.262,66.871,15.806,84.194,,,
ARG,1984,49060805832.6,65.4171972580427,32740001.6784668,0.0436551970902556,,,1456.76889711191,243111.57,,,25.0009988367976,,,,,,,,,7.5898953117888,4.75648611743286,8.3459768371011,79092001998.032,1.57073870223007,28.6764698028564,2.56972002983093,,32.1,,,,,,70.466,67.053,15.379,84.621,,,
ARG,1985,51156733946.0,61.1392424675637,39080001.8310547,0.0467059079671467,,,1368.43319317491,238145.75,,,17.3641413760603,,,,,,,,,11.7360980207352,6.27332704995287,7.63430725730443,88416668900.2596,-5.18902435215529,35.4959487915039,1.36186003684998,,30.6,,,,,,70.65,67.219,14.962,85.038,,,
ARG,1986,52688148843.8,49.7423000926157,73669998.1689453,0.0695510325786165,,,1428.87629693302,250785.28,,,16.9072294948969,,,,,,,,,8.16197754429543,6.32405524784407,7.80040264019792,110934442762.694,6.15337706274559,37.424991607666,1.261549949646,,29.6,,42.8,,,,70.825,67.379,14.555,85.445,,,
ARG,1987,58722673496.6,55.4286288043483,83389999.3896484,0.0787122425962309,,,1483.77216423937,256953.81,,,21.2973148810876,,,,,,,,,7.87320581340031,7.57576406955165,8.09435846444628,111106191358.197,2.70486882600893,39.2206497192383,1.28229999542236,,29.1,,45.3,,,,71.001,67.545,14.157,85.843,,,
ARG,1988,59015245403.5,48.8877119087842,142479995.727539,0.118029179346251,,,1510.83372259487,266245.22,,,20.3358354792818,,,,,,,,,9.53161297293404,6.21184563577101,8.97786821775225,126206817196.091,-1.08993334173134,,,,28.9,,,,,,71.186,67.726,13.767,86.233,,,
ARG,1989,65538413075.1,93.3336865626537,201610000.610352,0.287114132337943,,,1446.65773323039,265608.3,,,39.7174950191489,,,,,,,0.007154381,,13.0584089085641,6.57938879331971,9.61606509643166,76636898036.4712,-7.15694965554972,,1.04612004756927,,28.9,,,,,,71.384,67.924,13.387,86.613,,,
ARG,1990,62477601311.9,46.2283306008647,171630004.882813,0.126992209050117,92.1548004150391,8.92290746696394,1412.17995914484,243030.0,99.6066996888105,30.5,15.6016948142115,,,4.83851314669697,10.3254404487432,,,0.036788768,,10.3595365925264,4.63132240741775,8.12367620787488,141352368714.691,-2.46721377637459,,1.06737995147705,,28.6,,,,39.3400574537179,,71.594,68.138,13.016,86.984,,,
ARG,1991,65672366930.1,35.7191930020236,277769989.013672,0.151079065846824,92.4921875,8.7481843073882,1435.48457114879,248010.0,,,12.5872034907184,,,5.00823654744009,11.2055409345172,,,0.07557665,,7.67504334832217,6.07801081056698,6.71649176009431,189719984268.485,9.13311056620101,38.1191101074219,,,28.1,,46.8,,39.8386029095871,5.24,71.813,68.361,12.672,87.328,,,
ARG,1992,68605638952.4,30.5551426163691,266730010.986328,0.118794513835919,92.8294525146484,9.47164961562942,1489.34786032046,252410.0,,,15.4453354474077,,,5.54792213441138,11.8011099217048,,,0.138952987,0.002992874,6.5981874720374,8.13279311431564,5.99078709147934,228788617201.696,7.93729155643076,,,,27.3,,45.5,,40.326594081421,6.12,72.032,68.586,12.458,87.542,,,
ARG,1993,64681387080.3,27.6719318453773,245949996.948242,0.10522210268115,93.1660461425781,10.1283424369342,1474.30689274036,254920.0,,,18.2846049267413,,,8.01513800555669,14.2818561185834,,,0.329701602,0.029527065,6.90935153370832,9.31379991407563,5.13682648211779,236741715015.015,8.20697907221228,,,,26.3,,44.9,,40.8309125677346,8.4,72.246,68.804,12.248,87.752,,,
ARG,1994,75094061335.7,29.5945044681267,160919998.168945,0.0634184317656255,93.5012741088867,10.7349093475441,1548.62339314429,260000.0,,,20.280577998757,,,8.12643722809198,14.9007924176507,,,0.701000783,0.043705951,7.52994872591672,10.6043971410814,5.08266800031075,257440000000.0,5.83620070368526,37.0013313293457,,,25.2,,45.9,,41.222085568813,10.24,72.453,69.014,12.04,87.96,,,
ARG,1995,98773122012.7,38.9848417579252,148179992.675781,0.0584852786713887,93.8344650268555,11.2051846343744,1551.74521381659,260580.0,99.5809649285064,31.7000007629395,19.9606075608912,,,8.05435765172309,15.5112306915719,,,1.163985934,0.086277081,9.68041025959015,10.0910128307854,5.351464616273,258031750000.0,-2.84520961057079,,,,24.1,,48.9,,41.2106844320865,16.42,72.651,69.212,11.836,88.164,,,
ARG,1996,111145506414.0,41.6825294657416,122440002.441406,0.0459182667317131,94.1649398803711,10.1938555855904,1589.91755634679,272500.0,,,20.1870018252819,,0.41749,8.17178777492906,15.1655476442657,,,1.892449986,0.141954704,10.4285967560139,11.0778716497076,5.61086611323361,272149750000.0,5.52668982715234,,3.73198008537292,,23.1,,49.5,,41.5720205890187,15.63,72.843,69.402,11.634,88.366,,,
ARG,1997,128251441841.7,44.742849204167,99260002.1362305,0.0346286579223676,94.4920120239258,10.9990733955932,1621.90909509539,274400.0,,,21.9334587634322,,0.41959,8.69008635554994,15.0142218610321,,,5.634374256,0.280339882,10.5608501019262,12.7753287418177,5.22197210944516,292859000000.0,8.1110467707457,,,27.6264591439689,22.1,,49.1,,42.0298083947869,12.79,73.029,69.586,11.436,88.564,,,
ARG,1998,141504501057.7,48.5365413234134,73959999.0844727,0.0253685396931604,94.8150024414063,11.343009140403,1658.49577179954,278480.0,,,24.1532987732827,,0.41131,9.03052618638845,15.0988005449104,,,7.406006174,0.83076668,10.4155819610919,12.934446011977,5.25272256987622,298948250000.0,3.85017885156228,46.9607009887695,4.03986978530884,27.6264591439689,21.2,,50.7,,42.2775685679747,11.64,73.213,69.768,11.241,88.759,,,
ARG,1999,151913800711.3,55.0294127610094,82379997.253418,0.0298414156639025,95.1331558227539,10.3061733856805,1668.22514401839,283170.0,,,24.8933437498898,,0.45337,9.07612433559182,16.7436856974566,,,10.55432581,3.284481956,9.82717451494235,11.5555704475475,4.45782610229152,283523000000.0,-3.38545704063269,48.8317184448242,4.52167987823486,,20.4,,49.8,,42.1798676058739,13.25,73.396,69.948,11.048,88.952,,,
ARG,2000,150062928187.3,54.2417099417586,74559997.5585938,0.0269504387904764,95.4453659057617,9.84799957275391,1669.52633732128,284590.0,99.5499711446191,32.9000015258789,23.8947336198062,,0.43884,9.62260350188905,16.8328883767368,,,17.59645109,7.038683086,10.9863752325576,11.6360695451767,4.67991094417297,284203750000.0,-0.78899893905691,53.9648094177246,4.58030986785889,26.4591439688716,19.6,,51.1,,42.1748518533457,14.02,73.576,70.128,10.858,89.142,,,
