country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
ARG,1960,-1.5927866520156084,-0.23867334404243015,-1.9153441982899932,0.38632395247842705,0.33156856885741065,-0.5092667493918884,0.6968188394276582,0.28715627779450364
ARG,1961,-1.6174220445164151,-0.13024530484086916,-2.1077434576181404,0.405828283299176,0.33812143877578393,-0.5067294136490441,0.7099314691544449,0.2925265673159033
ARG,1962,-1.39124061147643,-0.2902680812218892,-2.170178605507606,-0.8551584316916928,-0.013098619381201732,-0.6006154075960501,0.670662998534876,0.15294099874626363
ARG,1963,-1.2461651574452781,-0.39041126023528716,-2.254627393200688,-1.728319788504678,-0.17453301311585592,-0.648587827511491,0.7059288531793296,-0.0097252058171843
ARG,1964,-1.6976475989035253,-0.10731815942510642,-2.077875359978205,1.341781134871189,0.618069183898636,-0.5365301033868425,0.7684127187992098,0.46549673916939893
ARG,1965,-1.7074802124560131,-0.08326424737073264,-2.136322023224225,1.4397924795872523,0.67335524313929,-0.5454262532188842,0.7985017644991044,0.4718780567566328
ARG,1966,-1.2787878462135087,-0.2537995791520548,-2.417968487267593,-0.7551858080112931,0.1483655567686906,-0.5932306901434539,0.8519311661943143,0.0020118745152680963
ARG,1967,-1.3254969920591926,-0.25912337954782244,-2.2852973630681577,0.011688444999663246,0.35585005796092384,-0.5654945800540842,0.8879131567789762,0.10530500986578908
ARG,1968,-1.3158885687976316,-0.21197446860280214,-2.2740614048712327,0.34591120541424425,0.4043668185283098,-0.5092884010856399,0.8965150254348154,0.15165601998216183
ARG,1969,-1.3543815653776365,-0.1975806190255863,-2.09296049940263,1.3134254532190492,0.6237740953791651,-0.43697951747599295,0.9252809805322796,0.2833172226945641
ARG,1970,-1.1965645823120608,-0.15434488099919022,-2.436157585967045,0.02668407317867761,0.27426462885186925,-0.48889011668793575,0.8940479205912862,0.10424330073606579
ARG,1971,-1.2115705906592134,-0.2023906562963774,-2.2406156052204205,0.5308959078993245,0.34351359238204054,-0.4937025584567558,0.8495671399115733,0.2693703276521583
ARG,1972,-1.0459143159449427,-0.28622523519784265,-2.3032069679494707,-0.25713152649987014,0.13565683163932826,-0.5574982887752259,0.8324424730170381,0.1551111036747591
ARG,1973,-1.0756588533616642,-0.24249994097726724,-2.330493923708806,-0.015498810221258479,0.19380256553887693,-0.5942721618869167,0.8032433991814057,0.24850464199959604
ARG,1974,-1.014954925739757,-0.21627936182108498,-2.2701569961407677,0.5513972606422474,0.3134467126071113,-0.5304604817462767,0.8435031450712405,0.24820602493599458
ARG,1975,-0.7320276954071527,-0.28591827344048754,-2.546322145861118,-0.49430988086448163,0.08119894609174345,-0.6017315648940622,0.9203130082252897,-0.10580855061630541
ARG,1976,-0.6381253402173334,-0.4137807993099944,-2.464009110409134,-0.895470226561844,-0.006598279786139992,-0.7174865722375696,0.8657108477497666,-0.09853816373748037
ARG,1977,-0.7337254291954525,-0.3672075900004524,-2.108553783936684,0.8859126153941563,0.37875023973509314,-0.5928879409265898,0.8621023747816126,0.15686227429397345
ARG,1978,-0.3900540274434916,-0.3650977477450439,-2.6031199636843056,-1.3308849786221795,-0.21268146781360847,-0.6795678996432202,0.8191085088907925,-0.23801697797450533
ARG,1979,-0.693081887396693,-0.1577145842745265,-2.2494870678218235,1.593424847306029,0.46056303434983986,-0.5312461925092206,0.797410906884198,0.23261348149498332
ARG,1980,-0.3671865789811222,-0.1988282497911363,-2.5846741442468937,-0.08994481608998961,0.0006937630731985903,-0.5945061971181012,0.7784895332334443,-0.10219729301355103
ARG,1981,-0.06430364452349226,-0.2931869614404288,-2.638280419996961,-1.3916010293914018,-0.42228906148261464,-0.5529393777945834,0.7563655364345127,-0.3443880392004125
ARG,1982,-0.21523710469817328,-0.26055814981525205,-2.4605580749310647,-0.5205786330147665,-0.2472898789232191,-0.580804488682153,0.688590143724595,-0.07050467719619562
ARG,1983,-0.30094010729475595,-0.2483453447595976,-2.3860710578325475,0.5003400313749305,0.059018925274365815,-0.6435922378407227,0.732446416050392,0.051475459407335375
ARG,1984,-0.23151479405185968,-0.21775374129615888,-2.6360235423586613,-0.02844786682872669,-0.06053171451647524,-0.7275739556124877,0.7118382073970972,-0.031242677263782128
ARG,1985,0.043248322483725066,-0.5429029615719931,-2.57937215697262,-1.3690513004921832,-0.3497376228756145,-0.9277967295362314,0.7544070439830883,-0.2728840389888697
ARG,1986,-0.25338705783907606,-0.3259593782677625,-2.4314689575761514,0.8770346217653162,0.19412836163396854,-0.8515787801210825,0.7449897776625959,0.12194459799929408
ARG,1987,-0.09300632887364704,-0.3553039125171838,-2.472177657192777,0.1943105885204381,-0.02083545912138781,-0.817903220724001,0.7012301758894043,0.04433861898714088
ARG,1988,-0.002525635027308825,-0.3873269496289899,-2.5941727330447635,-0.5530232294434099,-0.1843451882787948,-0.8866053394365687,0.682599594584521,-0.028989367983396984
ARG,1989,0.2976872322644392,-0.42410899016729386,-2.5499354733693442,-1.7242612962070603,-0.6204217320898591,-0.6408781661191046,0.6727243034221484,-0.2796197118396689
ARG,1990,0.0666560579425746,-0.4288821819250915,-2.734842700460491,-0.7900409910760178,-0.22852862544588734,-0.9935273261144498,0.7505375192112542,-0.1059844289046026
ARG,1991,-0.15888891676644357,-0.3263926576293795,-2.463173531696105,1.5081823104294518,0.34861624708614936,-0.9392727262185917,0.7994424883412977,0.23040557210550613
ARG,1992,-0.02001292632992718,-0.3551697292451136,-2.428487197490816,1.273280567745754,0.24778285132271366,-0.9021362424984252,0.7799813212486132,0.18970312671266115
