country_code,year,SP.URB.TOTL.IN.ZS,SP.RUR.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,NY.GDP.MKTP.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.DYN.MORT,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,NV.AGR.TOTL.ZS,FS.AST.PRVT.GD.ZS,SE.TER.ENRR,GC.TAX.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS,IT.CEL.SETS.P2,SL.TLF.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,IT.NET.USER.ZS,EG.FEC.RNEW.ZS,EG.ELC.ACCS.ZS,DT.ODA.ODAT.CD,DT.ODA.ODAT.GN.ZS,SE.XPD.TOTL.GD.ZS,SG.GEN.PARL.ZS,DT.DOD.DECT.CD,DT.DOD.DECT.GN.ZS,GB.XPD.RSDV.GD.ZS,SI.POV.GINI
JPN,1992,77.61,22.39,76.11,79.1539024390244,3908809463463.86,7.63772487869044,9.69207915552146,0.848069581386284,6.1,3644.19475989552,1212810.0,1.94184804053614,193.875114684042,,11.6271741488535,,1.366414488,40.4904650130228,2.16,0.096678025,4.19771490131849,100.0,,,3.913567423820495,4.6,,,2.69206,34.8
JPN,1993,77.746,22.254,76.24,79.2936585365854,4454143876947.21,6.93602346903134,9.0778552406565,-0.517919847163228,6.0,3655.96684264073,1205290.0,1.94184804053614,197.410007450166,,11.5907617945814,,1.695498287,40.2965315067571,2.42,0.401277526,4.43560671218463,100.0,,,3.42903995513916,4.6,,,2.69206,34.8
JPN,1994,77.881,22.119,76.57,79.6870731707317,4907039384469.68,7.10082213161643,9.0036501742541,0.993066363346571,5.9,3844.28667976801,1262490.0,1.94184804053614,199.24424425123,,11.5907617945814,,3.436145564,40.3191710720186,2.82,0.799684291,3.56764577817821,100.0,,,3.63566994667053,4.6,,,2.69206,34.8
JPN,1995,78.016,21.984,76.39,79.5363414634147,5449116304981.1,7.7076850527479,8.97179683136026,2.74214032190356,5.7,3934.9595606988,1277530.0,1.69004785366732,196.987874352467,,11.5907617945814,,9.268462106,40.2589550149345,3.16,1.594363148,3.91718852109581,100.0,,,3.46572995185852,4.6,,,2.69206,34.8
JPN,1996,78.145,21.855,77.01,80.200243902439,4833712542207.1,9.0454309367184,9.47906921723545,3.09999929079811,5.5,4008.4762359153,1291660.0,1.69495683681595,197.093647877196,,11.5907617945814,,21.24576848,40.2665497762128,3.44,4.372981968,3.8393584372338,100.0,,,3.429163297017417,4.6,,,2.69206,34.8
JPN,1997,78.272,21.728,77.19,80.4241463414634,4414732843544.43,9.49188652840768,10.5488516641158,1.0760452342591,5.2,4041.16767018095,1279530.0,1.55731850582944,210.219314134337,,11.5907617945814,,30.14663692,40.4479075771495,3.4,9.16307714,4.07212749288482,100.0,,,3.392596642176313,4.6,,,2.76968,34.8
JPN,1998,78.398,21.602,77.16,80.5014634146342,4032509760872.94,8.70754147415809,10.5244802339333,-1.12840982877319,5.0,3955.62762658228,1232410.0,1.63252076383717,218.088080762769,,11.5907617945814,,37.21565997,40.4865939347509,4.18,13.41404088,4.04535605146046,100.0,,,3.35602998733521,4.6,,,2.87363,34.8
JPN,1999,78.523,21.477,77.4,80.5707317073171,4562078822335.45,8.39719981726225,9.9517600054498,-0.251954272065987,4.7,4011.22477908253,1258050.0,1.60053328016953,221.288505110537,,11.5907617945814,,44.64568332,40.3571714617876,4.82,21.39129031,3.82878657575963,100.0,,,3.43330001831055,4.6,,,2.89283,34.8
JPN,2000,78.649,21.351,77.72,81.0760975609756,4887519660744.86,9.19516770266524,10.6244850068159,2.77963282512113,4.5,4083.83169745276,1274300.0,1.53599921018557,212.268798912486,,11.5907617945814,,52.36997183,40.3570516735894,4.86,29.99074036,3.77609992027283,100.0,,,3.51617002487183,7.29166666666667,,,2.90569,34.8
JPN,2001,79.99,20.01,78.1,81.4170731707317,4303544259842.72,9.56902897677842,10.2290991481917,0.406335903187042,4.3,4008.26803199396,1251440.0,1.38260628483475,183.181518341125,,11.5907617945814,,58.58344329,40.5576768923377,5.2,38.53206086,3.57979989051819,100.0,,,3.45707011222839,7.29166666666667,,,2.97183,34.8
JPN,2002,81.647,18.353,78.1,81.5634146341463,4115116279069.77,9.66739032943129,11.0182210299423,0.117992776889338,4.1,3991.97756679352,1283110.0,1.39211087428307,180.846348216289,,11.5907617945814,,63.42667271,40.5265499217513,5.56,46.59420112,3.77150011062622,100.0,,,3.46536993980408,7.29166666666667,,,3.01394,34.8
